Team, GamesPlayed, Wins, Losses, Ties, PCT, HammerEfficiency, StealDefence, StealEfficiency, ForceEfficiency, BlankEnds, BlankEnds/Game, ExtraEndHammer, ExtraEndSteal, Ends, PointsFor, PointsAgainst, PointsFor/Game, PointsAgainst/Game, AvgDiff, HammerPF/E, HammerPA/E, NoHammerPF/E, NoHammerPA/E, EndsFor/Game, EndsAgainst/Game, PointsFor/End, PointsAgainst/End 
Jason Ackerman, 20, 12, 8, 0, 0.600, 0.41, 0.27, 0.26, 0.52, 3, 0.85, 0, 0, 141, 124, 104, 8.79, 7.38, 1.42, 1.33, 0.40, 0.47, 1.04, 4.61, 4.54, 1.91, 1.63 
Jerome Adam, 4, 0, 4, 0, 0.000, 0.40, 0.40, 0.17, 0.33, 0, 0.37, 0, 0, 27, 20, 30, 7.41, 11.11, -3.70, 1.20, 0.73, 0.17, 1.58, 4.07, 5.56, 1.82, 2.00 
Rob Ainsley, 20, 11, 9, 0, 0.550, 0.41, 0.22, 0.26, 0.51, 9, 1.07, 1.0, 0, 149, 110, 109, 7.38, 7.32, 0.07, 1.07, 0.33, 0.42, 1.12, 4.56, 4.36, 1.62, 1.68 
Artur Ali, 15, 8, 7, 0, 0.533, 0.41, 0.18, 0.32, 0.36, 3, 0.73, 0, 0, 109, 85, 84, 7.80, 7.71, 0.09, 1.24, 0.20, 0.40, 1.23, 5.14, 4.13, 1.52, 1.87 
Nassar Alyafei, 6, 1, 5, 0, 0.167, 0.19, 0.50, 0.35, 0.50, 0, 0.20, 0, 0, 49, 27, 60, 5.51, 12.24, -6.73, 0.73, 0.88, 0.35, 1.61, 4.29, 5.51, 1.29, 2.22 
Valentin Anghelinei, 14, 3, 11, 0, 0.214, 0.18, 0.41, 0.22, 0.37, 4, 0.68, 0, 0, 103, 55, 122, 5.34, 11.84, -6.50, 0.74, 0.78, 0.31, 1.63, 3.79, 5.53, 1.41, 2.14 
Sam Antila, 2, 0, 2, 0, 0.000, 0.10, 0.73, 0.40, 1.00, 1, 0.63, 0, 0, 16, 6, 18, 3.75, 11.25, -7.50, 0.27, 1.36, 0.60, 0.60, 2.50, 6.88, 1.50, 1.64 
Go Aoki, 10, 8, 2, 0, 0.800, 0.48, 0.15, 0.39, 0.62, 6, 1.56, 0, 0, 77, 66, 36, 8.57, 4.68, 3.90, 1.18, 0.21, 0.61, 0.66, 5.06, 3.38, 1.69, 1.38 
Ted Appelman, 34, 22, 12, 0, 0.647, 0.51, 0.22, 0.32, 0.58, 14, 0.88, 0, 0, 239, 225, 148, 9.41, 6.19, 3.22, 1.41, 0.28, 0.45, 0.98, 4.98, 4.14, 1.89, 1.49 
Lars Aspeli, 4, 1, 3, 0, 0.250, 0.20, 0.20, 0.29, 0.36, 0, 0.37, 0, 0, 27, 15, 35, 5.56, 12.96, -7.41, 1.00, 0.80, 0.29, 1.59, 4.81, 4.81, 1.15, 2.69 
Dimitri Audibert, 8, 3, 5, 0, 0.375, 0.33, 0.31, 0.26, 0.55, 5, 1.45, 0, 0, 69, 47, 62, 6.81, 8.99, -2.17, 1.00, 0.66, 0.35, 1.15, 4.06, 4.49, 1.68, 2.00 
James Ballance, 13, 6, 7, 0, 0.462, 0.31, 0.36, 0.27, 0.73, 7, 0.93, 0, 0, 108, 76, 80, 7.04, 7.41, -0.37, 0.86, 0.61, 0.51, 0.90, 4.07, 5.00, 1.73, 1.48 
Christian Bangerter, 15, 6, 9, 0, 0.400, 0.39, 0.14, 0.26, 0.40, 3, 0.79, 1.0, 0.5, 127, 95, 102, 7.48, 8.03, -0.55, 1.26, 0.25, 0.33, 1.26, 5.04, 4.17, 1.48, 1.92 
Jesus Barajas, 4, 0, 4, 0, 0.000, 0.17, 0.65, 0.10, 0.50, 2, 1.00, 0, 0, 30, 10, 41, 3.33, 13.67, -10.33, 0.40, 1.25, 0.20, 1.60, 2.00, 7.00, 1.67, 1.95 
Dmitryi Barkan, 8, 2, 6, 0, 0.250, 0.29, 0.43, 0.17, 0.44, 2, 0.92, 0, 0, 76, 43, 64, 5.66, 8.42, -2.76, 0.93, 0.58, 0.17, 1.14, 3.55, 5.53, 1.59, 1.52 
Ante Baus, 8, 3, 5, 0, 0.375, 0.25, 0.33, 0.21, 0.33, 2, 0.56, 0, 0, 54, 40, 60, 7.41, 11.11, -3.70, 0.97, 0.73, 0.46, 1.58, 4.26, 5.19, 1.74, 2.14 
William Becker, 9, 0, 9, 0, 0.000, 0.15, 0.41, 0.06, 0.13, 5, 1.43, 0, 0, 70, 28, 101, 4.00, 14.43, -10.43, 0.67, 0.82, 0.06, 2.23, 2.86, 5.71, 1.40, 2.53 
Alek Bedard, 26, 20, 6, 0, 0.769, 0.39, 0.19, 0.27, 0.59, 17, 1.44, 1.0, 0, 180, 148, 107, 8.22, 5.94, 2.28, 1.19, 0.20, 0.42, 1.02, 4.56, 4.00, 1.80, 1.49 
Brett Behm, 18, 5, 13, 0, 0.278, 0.20, 0.28, 0.14, 0.48, 9, 1.20, 0, 0, 133, 73, 107, 5.49, 8.05, -2.56, 0.85, 0.38, 0.17, 1.34, 3.91, 4.89, 1.40, 1.65 
Sylvain Bellavance, 10, 5, 5, 0, 0.500, 0.17, 0.17, 0.26, 0.67, 7, 1.60, 1.0, 0.0, 75, 41, 39, 5.47, 5.20, 0.27, 0.83, 0.17, 0.28, 0.85, 4.40, 4.00, 1.24, 1.30 
Dave Belway, 6, 3, 3, 0, 0.500, 0.32, 0.25, 0.32, 0.54, 1, 0.26, 0, 0, 39, 33, 28, 8.46, 7.18, 1.28, 1.15, 0.35, 0.53, 1.11, 5.13, 4.62, 1.65, 1.56 
