Team, GamesPlayed, Wins, Losses, Ties, PCT, HammerEfficiency, StealDefence, StealEfficiency, ForceEfficiency, BlankEnds, BlankEnds/Game, ExtraEndHammer, ExtraEndSteal, Ends, PointsFor, PointsAgainst, PointsFor/Game, PointsAgainst/Game, AvgDiff, HammerPF/E, HammerPA/E, NoHammerPF/E, NoHammerPA/E, EndsFor/Game, EndsAgainst/Game, PointsFor/End, PointsAgainst/End 
Shinya Abe, 49, 28, 21, 0, 0.571, 0.49, 0.14, 0.28, 0.53, 23, 1.11, 0, 0.0, 360, 312, 235, 8.67, 6.53, 2.14, 1.34, 0.20, 0.43, 1.06, 4.92, 3.97, 1.76, 1.64 
Cole Adams, 52, 26, 26, 0, 0.500, 0.35, 0.23, 0.26, 0.48, 22, 1.02, 0, 0, 393, 280, 287, 7.12, 7.30, -0.18, 1.10, 0.33, 0.33, 1.12, 4.58, 4.40, 1.56, 1.66 
Paul Adams, 5, 1, 4, 0, 0.200, 0.07, 0.50, 0.36, 0.43, 1, 1.00, 0, 0, 30, 19, 31, 6.33, 10.33, -4.00, 0.50, 1.00, 0.79, 1.07, 4.00, 5.00, 1.58, 2.07 
Brian Adams Jr., 40, 25, 15, 0, 0.625, 0.31, 0.36, 0.32, 0.57, 17, 1.19, 1.0, 0, 285, 215, 197, 7.54, 6.91, 0.63, 0.93, 0.53, 0.56, 0.87, 4.28, 4.53, 1.76, 1.53 
Rob Ainsley, 32, 13, 19, 0, 0.406, 0.32, 0.29, 0.24, 0.51, 14, 1.17, 0, 0, 223, 155, 172, 6.95, 7.71, -0.76, 1.00, 0.43, 0.36, 1.14, 4.22, 4.62, 1.65, 1.67 
Steve Allen, 5, 1, 4, 0, 0.200, 0.32, 0.37, 0.18, 0.36, 0, 0.00, 0, 0, 36, 23, 33, 6.39, 9.17, -2.78, 1.05, 0.42, 0.18, 1.47, 4.17, 5.83, 1.53, 1.57 
Ryo Aoki, 15, 9, 6, 0, 0.600, 0.37, 0.20, 0.30, 0.52, 4, 1.24, 0, 0, 105, 85, 73, 8.10, 6.95, 1.14, 1.18, 0.20, 0.53, 1.07, 4.76, 4.00, 1.70, 1.74 
Jean-Michel Arsenault, 51, 36, 15, 0, 0.706, 0.48, 0.15, 0.28, 0.59, 23, 0.94, 0, 0.0, 395, 341, 238, 8.63, 6.03, 2.61, 1.37, 0.22, 0.38, 0.97, 5.01, 4.05, 1.72, 1.49 
Yuki Asanuma, 9, 4, 4, 1, 0.500, 0.33, 0.28, 0.34, 0.68, 2, 0.71, 0, 0.0, 70, 55, 41, 7.86, 5.86, 2.00, 1.16, 0.38, 0.47, 0.76, 4.86, 4.43, 1.62, 1.32 
Felix Asselin, 36, 28, 8, 0, 0.778, 0.50, 0.19, 0.27, 0.57, 8, 0.99, 1.0, 0, 253, 231, 147, 9.13, 5.81, 3.32, 1.43, 0.23, 0.41, 0.92, 5.02, 3.99, 1.82, 1.46 
Alain Aumont, 5, 2, 3, 0, 0.400, 0.15, 0.45, 0.42, 0.30, 0, 0.26, 0, 0, 39, 25, 34, 6.41, 8.72, -2.31, 0.75, 0.70, 0.53, 1.05, 4.87, 4.87, 1.32, 1.79 
