Team, GamesPlayed, Wins, Losses, Ties, PCT, HammerEfficiency, ExtraEndHammer, ExtraEndSteal, Ends, PointsFor, PointsAgainst, PointsFor/Game, PointsAgainst/Game, AvgDiff, HammerPF/E, HammerPA/E, NoHammerPF/E, NoHammerPA/E, EndsFor/Game, EndsAgainst/Game, PointsFor/End, PointsAgainst/End, BigEnds/Game, StealDefence, ForceEfficiency, StealEfficiency 
Ting-Li Lin, 4, 1, 3, 0, 0.250, 0.14, 0, 0, 26, 15, 30, 5.77, 11.54, -5.77, 0.71, 0.93, 0.42, 1.42, 4.23, 5.77, 1.36, 2.00, 0.00, 0.43, 0.56, 0.25 
Rob Lobel, 3, 1, 2, 0, 0.333, 0.14, 0, 0, 20, 9, 19, 4.50, 9.50, -5.00, 0.75, 0.38, 0.25, 1.33, 4.00, 4.50, 1.13, 2.11, 1.50, 0.25, 0.14, 0.25 
Sandy MacEwan, 18, 12, 6, 0, 0.667, 0.40, 0, 0.0, 143, 119, 97, 8.32, 6.78, 1.54, 1.15, 0.28, 0.51, 1.07, 4.69, 4.20, 1.78, 1.62, 1.12, 0.24, 0.47, 0.29 
Mike McEwen, 60, 35, 25, 0, 0.583, 0.42, 1.0, 0.0, 457, 356, 304, 7.79, 6.65, 1.14, 1.15, 0.32, 0.41, 1.00, 4.53, 4.20, 1.72, 1.58, 1.27, 0.21, 0.57, 0.25 
Jordan McNamara, 32, 16, 16, 0, 0.500, 0.25, 0, 1.0, 230, 184, 181, 8.00, 7.87, 0.13, 0.99, 0.54, 0.63, 1.02, 5.00, 4.57, 1.60, 1.72, 0.43, 0.35, 0.47, 0.39 
Sam Mooibroek, 48, 35, 13, 0, 0.729, 0.46, 1.0, 0, 337, 286, 203, 8.49, 6.02, 2.46, 1.27, 0.23, 0.45, 0.95, 4.96, 3.71, 1.71, 1.62, 1.34, 0.16, 0.48, 0.29 
Yusuke Morozumi, 57, 32, 25, 0, 0.561, 0.34, 0, 0, 393, 322, 271, 8.19, 6.90, 1.30, 1.10, 0.40, 0.57, 0.94, 4.96, 4.48, 1.65, 1.54, 0.56, 0.31, 0.55, 0.35 
Bruce Mouat, 87, 62, 25, 0, 0.713, 0.51, 1.0, 0.0, 667, 547, 373, 8.20, 5.59, 2.61, 1.33, 0.16, 0.37, 0.92, 4.78, 3.93, 1.71, 1.42, 1.29, 0.13, 0.64, 0.25 
Steven Munroe, 37, 26, 11, 0, 0.703, 0.43, 1.0, 0.0, 261, 229, 174, 8.77, 6.67, 2.11, 1.35, 0.26, 0.46, 1.03, 4.98, 4.06, 1.76, 1.64, 0.96, 0.19, 0.51, 0.29 
Dallan Muyres, 49, 19, 30, 0, 0.388, 0.33, 0.0, 0.0, 349, 252, 288, 7.22, 8.25, -1.03, 0.98, 0.45, 0.43, 1.24, 4.18, 4.84, 1.73, 1.70, 0.97, 0.31, 0.43, 0.24 
Dylan Niepage, 17, 8, 9, 0, 0.471, 0.39, 0, 0, 115, 85, 91, 7.39, 7.91, -0.52, 1.05, 0.46, 0.44, 1.10, 4.43, 4.61, 1.67, 1.72, 0.96, 0.30, 0.44, 0.29 
Rob Nobert, 27, 9, 18, 0, 0.333, 0.29, 0, 0, 183, 120, 164, 6.56, 8.96, -2.40, 0.92, 0.54, 0.36, 1.30, 4.32, 4.97, 1.52, 1.80, 0.71, 0.35, 0.32, 0.27 
Fredrik Nyman, 67, 47, 20, 0, 0.701, 0.47, 0, 0, 448, 415, 268, 9.26, 5.98, 3.28, 1.46, 0.22, 0.50, 0.91, 5.07, 3.82, 1.83, 1.57, 1.12, 0.16, 0.57, 0.33 
Raphael Patry, 16, 8, 8, 0, 0.500, 0.26, 0, 0, 109, 78, 75, 7.16, 6.88, 0.28, 1.04, 0.45, 0.47, 0.87, 4.40, 4.31, 1.63, 1.60, 1.28, 0.32, 0.47, 0.34 
Owen Purcell, 48, 31, 17, 0, 0.646, 0.47, 0, 0, 359, 295, 213, 8.22, 5.93, 2.28, 1.25, 0.24, 0.44, 0.91, 4.79, 3.90, 1.72, 1.52, 1.31, 0.16, 0.61, 0.29 
