Team, GamesPlayed, Wins, Losses, Ties, PCT, HammerEfficiency, StealDefence, StealEfficiency, ForceEfficiency, BlankEnds, BlankEnds/Game, ExtraEndHammer, ExtraEndSteal, Ends, PointsFor, PointsAgainst, PointsFor/Game, PointsAgainst/Game, AvgDiff, HammerPF/E, HammerPA/E, NoHammerPF/E, NoHammerPA/E, EndsFor/Game, EndsAgainst/Game, PointsFor/End, PointsAgainst/End 
Bowie Abbis-Mills, 11, 5, 6, 0, 0.455, 0.40, 0.30, 0.17, 0.35, 4, 0.81, 0, 0, 74, 59, 59, 7.97, 7.97, 0.00, 1.14, 0.36, 0.30, 1.43, 4.32, 4.86, 1.84, 1.64 
Shinya Abe, 9, 4, 5, 0, 0.444, 0.31, 0.34, 0.24, 0.71, 3, 0.93, 0, 0, 75, 49, 59, 6.53, 7.87, -1.33, 0.92, 0.63, 0.38, 0.95, 4.13, 4.93, 1.58, 1.59 
Kevin Aberle, 6, 3, 3, 0, 0.500, 0.20, 0.35, 0.35, 0.36, 3, 1.16, 0, 0, 43, 25, 31, 5.81, 7.21, -1.40, 0.70, 0.39, 0.45, 1.10, 4.42, 4.42, 1.32, 1.63 
Brian Adams Jr., 26, 17, 9, 0, 0.654, 0.35, 0.22, 0.20, 0.56, 14, 1.57, 0, 0.0, 210, 150, 131, 7.14, 6.24, 0.90, 1.09, 0.31, 0.32, 0.95, 4.29, 4.14, 1.67, 1.51 
Jamie Airut, 9, 0, 9, 0, 0.000, 0.08, 0.68, 0.05, 0.28, 3, 0.40, 0, 0, 75, 23, 116, 3.07, 15.47, -12.40, 0.39, 1.36, 0.05, 2.11, 2.13, 7.47, 1.44, 2.07 
Artur Ali, 13, 5, 8, 0, 0.385, 0.36, 0.24, 0.24, 0.54, 8, 1.40, 0, 0, 114, 74, 74, 6.49, 6.49, 0.00, 0.98, 0.33, 0.34, 0.95, 4.21, 4.39, 1.54, 1.48 
Wyllie Allan, 4, 3, 1, 0, 0.750, 0.50, 0.00, 0.18, 0.60, 1, 1.79, 0, 0, 28, 20, 16, 7.14, 5.71, 1.43, 1.45, 0.00, 0.24, 0.94, 4.64, 3.57, 1.54, 1.60 
Mike Anderson, 34, 18, 16, 0, 0.529, 0.29, 0.22, 0.25, 0.53, 17, 1.23, 1.0, 0, 260, 168, 178, 6.46, 6.85, -0.38, 0.98, 0.31, 0.33, 1.04, 4.38, 4.38, 1.47, 1.56 
Steven Andrews, 12, 6, 6, 0, 0.500, 0.29, 0.33, 0.35, 0.56, 1, 0.47, 0, 0, 85, 67, 60, 7.88, 7.06, 0.82, 1.10, 0.38, 0.52, 0.98, 4.82, 4.71, 1.63, 1.50 
Ted Appelman, 32, 19, 13, 0, 0.594, 0.36, 0.20, 0.20, 0.55, 20, 1.41, 0, 0, 241, 169, 169, 7.01, 7.01, 0.00, 1.05, 0.31, 0.29, 1.16, 4.40, 4.19, 1.59, 1.67 
Tom Appelman, 52, 31, 21, 0, 0.596, 0.44, 0.20, 0.27, 0.59, 44, 1.70, 1.0, 0.0, 377, 288, 225, 7.64, 5.97, 1.67, 1.10, 0.27, 0.38, 0.97, 4.32, 3.98, 1.77, 1.50 
Mike Aprile, 0, 0, 0, 0, ---, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0, 0, 0, 0, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00 
Evgeniy Arkhipov, 18, 8, 10, 0, 0.444, 0.31, 0.26, 0.26, 0.65, 5, 1.62, 0, 0.0, 130, 85, 88, 6.54, 6.77, -0.23, 1.00, 0.46, 0.41, 0.83, 4.23, 4.15, 1.55, 1.63 
Bob Armstrong, 6, 2, 4, 0, 0.333, 0.36, 0.48, 0.26, 0.54, 1, 0.48, 0, 0, 42, 27, 35, 6.43, 8.33, -1.90, 0.91, 0.52, 0.32, 1.21, 3.81, 5.71, 1.69, 1.46 
Bob Armstrong, 3, 0, 3, 0, 0.000, 0.18, 0.27, 0.10, 0.11, 0, 0.00, 0, 0, 21, 11, 25, 5.24, 11.90, -6.67, 0.91, 0.45, 0.10, 2.00, 4.29, 5.71, 1.22, 2.08 
Mike Armstrong, 17, 7, 10, 0, 0.412, 0.36, 0.23, 0.23, 0.57, 12, 1.70, 0.0, 0, 141, 86, 87, 6.10, 6.17, -0.07, 0.93, 0.28, 0.29, 0.96, 4.18, 4.11, 1.46, 1.50 
Roy Arndt, 23, 13, 10, 0, 0.565, 0.34, 0.21, 0.26, 0.49, 13, 1.22, 0, 0, 181, 129, 123, 7.13, 6.80, 0.33, 1.05, 0.30, 0.36, 1.07, 4.59, 4.20, 1.55, 1.62 
Mike Assad, 6, 0, 6, 0, 0.000, 0.29, 0.34, 0.00, 0.60, 5, 1.70, 0, 0, 47, 24, 41, 5.11, 8.72, -3.62, 0.83, 0.62, 0.00, 1.28, 2.98, 5.32, 1.71, 1.64 
Rob Atkins, 1, 0, 1, 0, 0.000, 0.33, 0.33, 0.40, 0.00, 0, 0.00, 0, 0, 8, 5, 8, 6.25, 10.00, -3.75, 1.00, 0.67, 0.40, 1.20, 5.00, 5.00, 1.25, 2.00 
Alexander Attinger, 26, 12, 14, 0, 0.462, 0.26, 0.21, 0.24, 0.55, 11, 1.26, 1.0, 0.0, 190, 123, 133, 6.47, 7.00, -0.53, 1.00, 0.29, 0.34, 1.06, 4.37, 4.37, 1.48, 1.60 
Scott Babin, 5, 2, 3, 0, 0.400, 0.26, 0.30, 0.06, 0.36, 1, 1.39, 1.0, 0, 36, 22, 31, 6.11, 8.61, -2.50, 1.05, 0.60, 0.06, 1.19, 3.89, 4.72, 1.57, 1.82 
Chris Baier, 18, 8, 10, 0, 0.444, 0.35, 0.21, 0.31, 0.55, 6, 1.06, 0, 0.0, 142, 99, 93, 6.97, 6.55, 0.42, 1.05, 0.30, 0.43, 0.93, 4.72, 4.23, 1.48, 1.55 
Ray Balachorek, 7, 2, 5, 0, 0.286, 0.31, 0.36, 0.17, 0.57, 2, 1.37, 0, 0, 51, 34, 38, 6.67, 7.45, -0.78, 1.07, 0.50, 0.17, 1.04, 3.92, 4.71, 1.70, 1.58 
Scott Ballantyne, 8, 0, 8, 0, 0.000, 0.14, 0.33, 0.17, 0.41, 1, 0.67, 0.0, 0, 60, 30, 55, 5.00, 9.17, -4.17, 0.83, 0.47, 0.17, 1.37, 4.00, 5.33, 1.25, 1.72 
