Team, GamesPlayed, Wins, Losses, Ties, PCT, HammerEfficiency, StealDefence, StealEfficiency, ForceEfficiency, BlankEnds, BlankEnds/Game, ExtraEndHammer, ExtraEndSteal, Ends, PointsFor, PointsAgainst, PointsFor/Game, PointsAgainst/Game, AvgDiff, HammerPF/E, HammerPA/E, NoHammerPF/E, NoHammerPA/E, EndsFor/Game, EndsAgainst/Game, PointsFor/End, PointsAgainst/End 
Emira Abbes, 54, 24, 30, 0, 0.444, 0.34, 0.29, 0.28, 0.56, 36, 1.26, 1.0, 0.0, 389, 278, 300, 7.15, 7.71, -0.57, 0.95, 0.46, 0.44, 1.15, 4.16, 4.58, 1.72, 1.69 
Skylar Ackerman, 58, 40, 18, 0, 0.690, 0.38, 0.27, 0.33, 0.50, 16, 0.65, 0, 0, 446, 383, 315, 8.59, 7.06, 1.52, 1.22, 0.37, 0.49, 1.06, 4.98, 4.37, 1.73, 1.62 
Melissa Adams, 34, 21, 13, 0, 0.618, 0.34, 0.31, 0.31, 0.61, 9, 0.77, 0, 0.0, 272, 205, 187, 7.54, 6.88, 0.66, 1.07, 0.45, 0.44, 0.92, 4.67, 4.56, 1.61, 1.51 
Jocelyn Adams-Moss, 25, 6, 19, 0, 0.240, 0.14, 0.40, 0.31, 0.45, 7, 1.01, 0.0, 0, 189, 103, 153, 5.45, 8.10, -2.65, 0.68, 0.61, 0.41, 1.00, 4.13, 4.87, 1.32, 1.66 
Miia Ahrenberg, 9, 5, 4, 0, 0.556, 0.35, 0.31, 0.32, 0.64, 5, 0.75, 0, 0, 80, 63, 61, 7.88, 7.63, 0.25, 1.07, 0.48, 0.47, 1.08, 4.50, 4.75, 1.75, 1.61 
Bethany Allan, 10, 5, 5, 0, 0.500, 0.23, 0.19, 0.33, 0.45, 6, 1.18, 0, 0, 68, 52, 59, 7.65, 8.68, -1.03, 0.91, 0.22, 0.64, 1.44, 4.71, 4.12, 1.63, 2.11 
Sarah Anderson, 49, 28, 21, 0, 0.571, 0.37, 0.24, 0.28, 0.49, 19, 0.97, 0, 0.0, 382, 303, 263, 7.93, 6.88, 1.05, 1.09, 0.32, 0.48, 1.06, 4.71, 4.32, 1.68, 1.59 
Sherry Anderson, 29, 15, 14, 0, 0.517, 0.34, 0.28, 0.26, 0.48, 7, 0.44, 0, 0, 206, 170, 161, 8.25, 7.82, 0.44, 1.17, 0.42, 0.41, 1.22, 4.76, 4.81, 1.73, 1.63 
Birgitta Andersson, 3, 0, 3, 0, 0.000, 0.11, 0.40, 0.13, 0.00, 1, 0.56, 0, 0, 18, 7, 37, 3.89, 20.56, -16.67, 0.60, 1.30, 0.13, 3.00, 3.33, 6.11, 1.17, 3.36 
Grace Apuwai-Bishop, 5, 1, 4, 0, 0.200, 0.21, 0.63, 0.29, 0.40, 0, 0.00, 0, 0, 33, 19, 41, 5.76, 12.42, -6.67, 0.68, 1.05, 0.43, 1.50, 3.33, 6.67, 1.73, 1.86 
Hailey Armstrong, 41, 21, 20, 0, 0.512, 0.32, 0.33, 0.27, 0.54, 13, 0.96, 1.0, 0.0, 303, 211, 230, 6.96, 7.59, -0.63, 1.03, 0.53, 0.36, 1.00, 4.29, 4.75, 1.62, 1.60 
Nicole Arsenault-Bishop, 17, 5, 12, 0, 0.294, 0.18, 0.37, 0.26, 0.50, 1, 0.54, 0, 0, 130, 81, 116, 6.23, 8.92, -2.69, 0.89, 0.60, 0.38, 1.16, 4.31, 5.15, 1.45, 1.73 
Courtney Auld, 21, 10, 11, 0, 0.476, 0.15, 0.36, 0.29, 0.65, 7, 1.05, 0, 0, 143, 83, 109, 5.80, 7.62, -1.82, 0.75, 0.61, 0.40, 0.93, 4.27, 4.69, 1.36, 1.63 
Sarah Bailey, 29, 12, 17, 0, 0.414, 0.31, 0.33, 0.28, 0.50, 7, 1.04, 0, 0.0, 211, 138, 163, 6.54, 7.73, -1.18, 0.99, 0.50, 0.35, 1.03, 4.36, 4.60, 1.50, 1.68 
Trina Ball, 12, 2, 10, 0, 0.167, 0.20, 0.37, 0.29, 0.41, 8, 1.15, 0, 0.0, 96, 53, 88, 5.52, 9.17, -3.65, 0.70, 0.63, 0.36, 1.29, 3.96, 4.90, 1.39, 1.87 
Penny Barker, 34, 18, 16, 0, 0.529, 0.25, 0.37, 0.38, 0.57, 8, 0.64, 0.0, 0.0, 249, 193, 171, 7.75, 6.87, 0.88, 0.94, 0.51, 0.62, 0.85, 4.70, 4.66, 1.65, 1.47 
Evelina Barone, 25, 17, 8, 0, 0.680, 0.35, 0.27, 0.39, 0.65, 7, 0.67, 0, 0, 193, 177, 115, 9.17, 5.96, 3.21, 1.21, 0.34, 0.66, 0.82, 5.13, 4.20, 1.79, 1.42 
Grace Beaudry, 43, 24, 19, 0, 0.558, 0.35, 0.32, 0.31, 0.53, 16, 0.70, 0, 0, 358, 281, 261, 7.85, 7.29, 0.56, 1.00, 0.44, 0.55, 1.03, 4.58, 4.72, 1.71, 1.54 
Ava Beausoleil, 22, 9, 13, 0, 0.409, 0.25, 0.37, 0.33, 0.54, 3, 0.39, 0, 0, 179, 134, 137, 7.49, 7.65, -0.17, 0.88, 0.50, 0.61, 1.05, 4.69, 4.92, 1.60, 1.56 
Shae Bevan, 27, 4, 23, 0, 0.148, 0.19, 0.49, 0.24, 0.42, 2, 0.40, 0, 0, 176, 97, 193, 5.51, 10.97, -5.45, 0.75, 0.86, 0.30, 1.39, 3.75, 5.85, 1.47, 1.87 
Zoe Biesecker, 5, 1, 4, 0, 0.200, 0.25, 0.47, 0.28, 0.55, 1, 0.86, 0, 0, 35, 23, 35, 6.57, 10.00, -3.43, 0.94, 1.00, 0.39, 1.00, 3.71, 5.43, 1.77, 1.84 
Torhild Bjoernstad, 34, 16, 18, 0, 0.471, 0.30, 0.31, 0.27, 0.50, 14, 1.19, 0.0, 1.0, 261, 185, 187, 7.09, 7.16, -0.08, 0.99, 0.43, 0.40, 1.02, 4.37, 4.44, 1.62, 1.61 
Christina Black, 13, 4, 9, 0, 0.308, 0.23, 0.35, 0.27, 0.59, 3, 0.65, 0, 0, 92, 59, 78, 6.41, 8.48, -2.07, 0.84, 0.57, 0.39, 1.20, 4.46, 4.89, 1.44, 1.73 
Kathrine Blackham, 18, 4, 14, 0, 0.222, 0.28, 0.40, 0.23, 0.42, 5, 1.12, 0, 0, 143, 90, 132, 6.29, 9.23, -2.94, 0.90, 0.71, 0.34, 1.14, 3.85, 5.04, 1.64, 1.83 
Sophie Blades, 12, 7, 5, 0, 0.583, 0.41, 0.24, 0.31, 0.43, 2, 0.53, 0, 0, 94, 81, 73, 8.62, 7.77, 0.85, 1.28, 0.37, 0.46, 1.17, 5.11, 4.36, 1.69, 1.78 
Lucy Blair, 37, 11, 26, 0, 0.297, 0.26, 0.37, 0.28, 0.42, 11, 0.91, 0.0, 0, 275, 182, 244, 6.62, 8.87, -2.25, 0.91, 0.58, 0.41, 1.20, 4.15, 4.95, 1.60, 1.79 
Amelie Blais, 18, 5, 13, 0, 0.278, 0.27, 0.28, 0.16, 0.55, 4, 0.37, 0, 0, 137, 91, 129, 6.64, 9.42, -2.77, 1.04, 0.52, 0.21, 1.45, 4.38, 5.26, 1.52, 1.79 
Sarah Boland, 17, 7, 10, 0, 0.412, 0.38, 0.26, 0.15, 0.53, 2, 0.79, 0, 0, 139, 94, 106, 6.76, 7.63, -0.86, 1.13, 0.35, 0.24, 1.15, 4.24, 4.96, 1.59, 1.54 
Maureen Bonar, 4, 0, 4, 0, 0.000, 0.00, 0.00, 0.00, 1.00, 0, 0.00, 0, 0, 4, 0, 4, 0.00, 10.00, -10.00, 0.00, 0.00, 0.00, 1.00, 0.00, 10.00, 0.00, 1.00 
Cathy Borys, 4, 0, 4, 0, 0.000, 0.13, 0.60, 0.09, 0.22, 0, 0.38, 0, 0, 26, 11, 32, 4.23, 12.31, -8.08, 0.67, 1.00, 0.09, 1.55, 2.69, 6.92, 1.57, 1.78 
Emily Bowles, 55, 30, 25, 0, 0.545, 0.36, 0.25, 0.29, 0.47, 14, 0.67, 0, 0.0, 466, 353, 363, 7.58, 7.79, -0.21, 1.12, 0.41, 0.43, 1.11, 4.79, 4.55, 1.58, 1.71 
Kaitlyn Bowman, 25, 6, 19, 0, 0.240, 0.17, 0.34, 0.29, 0.38, 14, 1.22, 1.0, 0, 188, 104, 161, 5.53, 8.56, -3.03, 0.71, 0.56, 0.39, 1.16, 4.04, 4.73, 1.37, 1.81 
Paige Bown, 27, 10, 17, 0, 0.370, 0.34, 0.38, 0.29, 0.46, 8, 0.91, 0, 0, 186, 130, 170, 6.99, 9.14, -2.15, 1.00, 0.65, 0.39, 1.18, 4.14, 4.95, 1.69, 1.85 
Kelsey Boyd, 12, 1, 11, 0, 0.083, 0.14, 0.51, 0.32, 0.42, 0, 0.00, 0, 0, 75, 38, 97, 5.07, 12.93, -7.87, 0.65, 1.19, 0.37, 1.39, 4.00, 6.00, 1.27, 2.16 
Shelly Bradley, 12, 7, 5, 0, 0.583, 0.36, 0.30, 0.25, 0.58, 4, 0.93, 0, 0, 86, 63, 63, 7.33, 7.33, 0.00, 1.09, 0.50, 0.33, 1.00, 4.42, 4.65, 1.66, 1.58 
Chelsea Brandwood, 46, 25, 21, 0, 0.543, 0.33, 0.31, 0.31, 0.56, 15, 1.09, 0, 0.0, 338, 260, 228, 7.69, 6.75, 0.95, 1.06, 0.48, 0.49, 0.87, 4.53, 4.38, 1.70, 1.54 
Corryn Brown, 66, 44, 22, 0, 0.667, 0.37, 0.27, 0.35, 0.55, 8, 0.46, 0, 0.0, 496, 431, 331, 8.69, 6.67, 2.02, 1.21, 0.36, 0.56, 0.94, 5.16, 4.38, 1.68, 1.53 
Karys Buchalter, 9, 2, 7, 0, 0.222, 0.27, 0.42, 0.21, 0.65, 8, 1.37, 0, 0, 73, 40, 63, 5.48, 8.63, -3.15, 0.73, 0.73, 0.25, 1.07, 3.29, 5.34, 1.67, 1.62 
Rylie Buchalter, 12, 4, 8, 0, 0.333, 0.20, 0.42, 0.16, 0.61, 4, 1.29, 0, 0, 93, 43, 82, 4.62, 8.82, -4.19, 0.70, 0.72, 0.19, 1.07, 3.44, 5.27, 1.34, 1.67 
Abby Burgess, 11, 6, 5, 0, 0.545, 0.43, 0.20, 0.29, 0.61, 3, 0.74, 0, 0, 94, 75, 63, 7.98, 6.70, 1.28, 1.29, 0.42, 0.35, 0.90, 5.00, 4.26, 1.60, 1.58 
Krysta Burns, 21, 13, 8, 0, 0.619, 0.38, 0.24, 0.33, 0.58, 5, 0.67, 0, 1.0, 163, 139, 100, 8.53, 6.14, 2.39, 1.24, 0.30, 0.49, 0.90, 5.09, 4.23, 1.67, 1.45 
Adriana Camarena, 7, 1, 6, 0, 0.143, 0.13, 0.48, 0.09, 0.42, 1, 0.56, 1.0, 0, 54, 22, 71, 4.07, 13.15, -9.07, 0.61, 0.94, 0.13, 1.83, 3.15, 6.30, 1.29, 2.09 
Kate Cameron, 83, 49, 34, 0, 0.590, 0.35, 0.24, 0.28, 0.54, 41, 1.06, 0.3333333333333333, 0, 622, 475, 417, 7.64, 6.70, 0.93, 1.05, 0.33, 0.46, 1.03, 4.61, 4.32, 1.66, 1.55 
Jolene Campbell, 53, 32, 21, 0, 0.604, 0.37, 0.26, 0.31, 0.59, 13, 0.89, 1.0, 1.0, 359, 289, 235, 8.05, 6.55, 1.50, 1.13, 0.36, 0.50, 0.93, 4.85, 4.26, 1.66, 1.54 
Sydney Carver, 4, 0, 4, 0, 0.000, 0.14, 0.29, 0.00, 0.15, 0, 0.00, 0, 0, 27, 15, 39, 5.56, 14.44, -8.89, 1.07, 0.43, 0.00, 2.54, 3.70, 6.30, 1.50, 2.29 
Emily Cherwinski, 44, 19, 25, 0, 0.432, 0.32, 0.38, 0.30, 0.42, 9, 0.89, 0, 0, 292, 219, 249, 7.50, 8.53, -1.03, 1.08, 0.64, 0.41, 1.08, 4.35, 4.76, 1.72, 1.79 
Marie Christianson, 51, 28, 23, 0, 0.549, 0.35, 0.19, 0.29, 0.61, 41, 1.58, 1.0, 1.0, 399, 282, 244, 7.07, 6.12, 0.95, 0.97, 0.30, 0.44, 0.93, 4.46, 3.96, 1.58, 1.54 
Emily Clark, 23, 12, 11, 0, 0.522, 0.32, 0.29, 0.37, 0.52, 10, 1.05, 0, 0.5, 172, 140, 123, 8.14, 7.15, 0.99, 1.05, 0.51, 0.60, 0.91, 4.77, 4.19, 1.71, 1.71 
Jennifer Clark-Rouire, 9, 5, 4, 0, 0.556, 0.28, 0.33, 0.33, 0.50, 2, 0.78, 1.0, 0, 51, 35, 40, 6.86, 7.84, -0.98, 0.93, 0.48, 0.42, 1.13, 4.71, 4.51, 1.46, 1.74 
Jennifer Collier, 4, 1, 3, 0, 0.250, 0.00, 0.69, 0.18, 0.57, 0, 0.74, 0, 0, 27, 8, 28, 2.96, 10.37, -7.41, 0.31, 1.00, 0.27, 1.09, 2.59, 6.67, 1.14, 1.56 
Sandra Comadina, 3, 0, 3, 0, 0.000, 0.33, 0.42, 0.09, 0.78, 0, 0.43, 0, 0, 23, 12, 19, 5.22, 8.26, -3.04, 0.92, 0.58, 0.09, 1.09, 3.48, 6.09, 1.50, 1.36 
Stefania Constantini, 106, 62, 44, 0, 0.585, 0.36, 0.22, 0.27, 0.57, 75, 1.40, 0, 0.2, 829, 621, 519, 7.49, 6.26, 1.23, 1.03, 0.29, 0.44, 0.99, 4.49, 4.11, 1.67, 1.52 
Makayla Cook, 4, 0, 4, 0, 0.000, 0.00, 0.38, 0.23, 0.40, 1, 0.34, 0, 0, 29, 13, 25, 4.48, 8.62, -4.14, 0.56, 0.44, 0.31, 1.38, 4.14, 5.52, 1.08, 1.56 
Elizabeth Cousins, 30, 14, 16, 0, 0.467, 0.37, 0.23, 0.22, 0.61, 8, 0.69, 0, 0.0, 218, 178, 158, 8.17, 7.25, 0.92, 1.20, 0.36, 0.42, 1.10, 4.63, 4.68, 1.76, 1.55 
Roselyn Craig, 5, 1, 4, 0, 0.200, 0.19, 0.38, 0.29, 0.58, 0, 0.00, 0, 0, 33, 23, 29, 6.97, 8.79, -1.82, 1.06, 0.63, 0.35, 1.12, 4.55, 5.45, 1.53, 1.61 
Stacie Curtis, 32, 13, 19, 0, 0.406, 0.38, 0.27, 0.20, 0.53, 4, 0.60, 0, 0, 268, 191, 212, 7.13, 7.91, -0.78, 1.17, 0.44, 0.26, 1.13, 4.44, 4.96, 1.61, 1.59 
Jessica Daigle, 43, 25, 18, 0, 0.581, 0.36, 0.29, 0.33, 0.54, 18, 0.82, 0, 1.0, 316, 254, 220, 8.04, 6.96, 1.08, 1.09, 0.42, 0.49, 0.99, 4.72, 4.46, 1.70, 1.56 
Kim Dennis, 16, 10, 6, 0, 0.625, 0.36, 0.25, 0.39, 0.51, 2, 0.44, 0, 0, 114, 99, 71, 8.68, 6.23, 2.46, 1.25, 0.29, 0.55, 0.90, 5.35, 4.21, 1.62, 1.48 
Robyn Despins, 23, 12, 11, 0, 0.522, 0.27, 0.26, 0.37, 0.54, 10, 1.18, 0, 0.0, 169, 120, 110, 7.10, 6.51, 0.59, 0.90, 0.38, 0.55, 0.88, 4.79, 4.02, 1.48, 1.62 
Tammy Dewar, 17, 4, 13, 0, 0.235, 0.24, 0.27, 0.13, 0.46, 2, 0.94, 0, 0, 127, 75, 115, 5.91, 9.06, -3.15, 0.98, 0.45, 0.24, 1.31, 4.02, 5.04, 1.47, 1.80 
