Team, GamesPlayed, Wins, Losses, Ties, PCT, HammerEfficiency, ExtraEndHammer, ExtraEndSteal, Ends, PointsFor, PointsAgainst, PointsFor/Game, PointsAgainst/Game, AvgDiff, HammerPF/E, HammerPA/E, NoHammerPF/E, NoHammerPA/E, EndsFor/Game, EndsAgainst/Game, PointsFor/End, PointsAgainst/End, BigEnds/Game, StealDefence, ForceEfficiency, StealEfficiency 
Kristy McDonald, 26, 12, 14, 0, 0.462, 0.36, 0.0, 0, 212, 156, 158, 7.36, 7.45, -0.09, 1.14, 0.42, 0.34, 1.06, 4.53, 4.15, 1.63, 1.80, 1.32, 0.23, 0.44, 0.27 
Christine McMakin, 20, 9, 11, 0, 0.450, 0.32, 0, 0.0, 156, 110, 129, 7.05, 8.27, -1.22, 1.05, 0.43, 0.32, 1.27, 4.17, 5.19, 1.69, 1.59, 0.64, 0.34, 0.58, 0.23 
Eirin Mesloe, 15, 11, 4, 0, 0.733, 0.44, 0, 0, 103, 97, 62, 9.42, 6.02, 3.40, 1.42, 0.26, 0.44, 0.96, 5.05, 4.27, 1.87, 1.41, 0.68, 0.21, 0.64, 0.26 
Henrietta Miklai, 5, 3, 2, 0, 0.600, 0.30, 0, 0, 43, 40, 25, 9.30, 5.81, 3.49, 1.41, 0.32, 0.43, 0.86, 4.65, 4.65, 2.00, 1.25, 0.70, 0.27, 0.79, 0.29 
Gunta Millere, 5, 1, 4, 0, 0.200, 0.06, 0, 0, 36, 18, 36, 5.00, 10.00, -5.00, 0.50, 0.83, 0.50, 1.17, 3.89, 6.11, 1.29, 1.64, 0.00, 0.56, 0.50, 0.33 
Amy Mitchell, 5, 1, 4, 0, 0.200, 0.20, 0, 0, 40, 21, 47, 5.25, 11.75, -6.50, 0.80, 0.88, 0.07, 1.67, 3.00, 6.50, 1.75, 1.81, 0.50, 0.56, 0.33, 0.07 
Jessica Mitchell, 40, 22, 18, 0, 0.550, 0.33, 0, 1.0, 300, 215, 192, 7.17, 6.40, 0.77, 1.00, 0.37, 0.44, 0.90, 4.40, 4.30, 1.63, 1.49, 1.30, 0.28, 0.58, 0.30 
Mackenzie Mitchell, 24, 14, 10, 0, 0.583, 0.36, 0, 0.0, 196, 157, 117, 8.01, 5.97, 2.04, 1.19, 0.32, 0.44, 0.86, 4.85, 4.08, 1.65, 1.46, 1.07, 0.22, 0.61, 0.30 
Emma Moberg, 24, 12, 12, 0, 0.500, 0.33, 0, 0, 174, 140, 120, 8.05, 6.90, 1.15, 1.04, 0.48, 0.61, 0.86, 4.83, 4.31, 1.67, 1.60, 0.86, 0.32, 0.54, 0.39 
Rebecca Morrison, 4, 0, 4, 0, 0.000, 0.27, 0, 0, 25, 11, 34, 4.40, 13.60, -9.20, 0.91, 0.82, 0.07, 1.79, 3.20, 6.00, 1.38, 2.27, 0.80, 0.36, 0.18, 0.07 
Mari Motohashi, 12, 6, 6, 0, 0.500, 0.36, 0, 0, 97, 63, 68, 6.49, 7.01, -0.52, 1.02, 0.38, 0.22, 1.07, 4.12, 4.33, 1.58, 1.62, 1.55, 0.23, 0.60, 0.16 
Sarah Mueller, 38, 17, 21, 0, 0.447, 0.27, 1.0, 0.0, 292, 209, 221, 7.16, 7.57, -0.41, 0.97, 0.42, 0.47, 1.09, 4.42, 4.45, 1.62, 1.70, 1.13, 0.30, 0.40, 0.28 
Eve Muirhead, 53, 42, 11, 0, 0.792, 0.45, 0.5, 0, 436, 383, 232, 8.78, 5.32, 3.46, 1.27, 0.20, 0.49, 0.87, 5.18, 3.85, 1.69, 1.38, 0.96, 0.17, 0.67, 0.32 
Robyn Munro, 11, 4, 7, 0, 0.364, 0.25, 1.0, 0.0, 81, 62, 83, 7.65, 10.25, -2.59, 0.88, 0.86, 0.63, 1.21, 4.57, 4.94, 1.68, 2.08, 0.49, 0.40, 0.48, 0.37 
Jestyn Murphy, 46, 25, 21, 0, 0.543, 0.36, 0.0, 0, 332, 267, 255, 8.04, 7.68, 0.36, 1.13, 0.42, 0.49, 1.11, 4.76, 4.55, 1.69, 1.69, 0.69, 0.27, 0.51, 0.29 
Seina Nakajima, 21, 14, 7, 0, 0.667, 0.39, 1.0, 0, 173, 127, 107, 7.34, 6.19, 1.16, 1.23, 0.27, 0.29, 0.92, 4.62, 4.28, 1.59, 1.45, 1.10, 0.19, 0.69, 0.23 
Yana Nekrasova, 4, 2, 2, 0, 0.500, 0.27, 0, 0, 31, 17, 22, 5.48, 7.10, -1.61, 0.78, 0.39, 0.23, 1.15, 3.87, 4.84, 1.42, 1.47, 1.29, 0.28, 0.60, 0.15 
Miku Nihira, 3, 0, 3, 0, 0.000, 0.30, 0, 0, 24, 15, 25, 6.25, 10.42, -4.17, 0.82, 0.55, 0.46, 1.46, 4.17, 5.42, 1.50, 1.92, 0.42, 0.36, 0.33, 0.31 
Irina Nizovtseva, 14, 7, 7, 0, 0.500, 0.35, 0, 0, 99, 76, 69, 7.68, 6.97, 0.71, 1.31, 0.33, 0.42, 0.93, 4.55, 4.34, 1.69, 1.60, 1.11, 0.18, 0.58, 0.25 
Ksenia Novikova, 4, 1, 3, 0, 0.250, 0.14, 0, 0, 27, 19, 24, 7.04, 8.89, -1.85, 0.93, 0.27, 0.42, 1.67, 4.81, 4.81, 1.46, 1.85, 0.37, 0.20, 0.40, 0.17 
Sara Olson, 11, 5, 6, 0, 0.455, 0.20, 0, 0, 88, 60, 63, 6.82, 7.16, -0.34, 0.79, 0.47, 0.56, 1.00, 4.89, 4.20, 1.40, 1.70, 0.91, 0.26, 0.56, 0.37 
Sherrilee Orsted, 34, 11, 23, 0, 0.324, 0.26, 0, 0, 255, 172, 217, 6.75, 8.51, -1.76, 0.90, 0.60, 0.43, 1.13, 4.16, 5.02, 1.62, 1.70, 0.82, 0.38, 0.49, 0.27 
Virginija Paulauskaite, 27, 18, 9, 0, 0.667, 0.27, 0, 0, 207, 166, 138, 8.02, 6.67, 1.35, 1.06, 0.37, 0.57, 0.93, 5.12, 3.96, 1.57, 1.68, 0.92, 0.25, 0.53, 0.35 
Beth Peterson, 43, 24, 19, 0, 0.558, 0.42, 0, 0, 334, 271, 233, 8.11, 6.98, 1.14, 1.12, 0.37, 0.48, 1.05, 4.52, 4.46, 1.79, 1.56, 1.02, 0.28, 0.51, 0.29 
Tabitha Peterson, 56, 38, 18, 0, 0.679, 0.45, 0, 0.0, 433, 383, 279, 8.85, 6.44, 2.40, 1.28, 0.27, 0.53, 0.99, 5.08, 4.32, 1.74, 1.49, 0.60, 0.19, 0.60, 0.33 
Melissa Pierce, 34, 12, 22, 0, 0.353, 0.25, 0.0, 0.0, 264, 165, 217, 6.25, 8.22, -1.97, 0.92, 0.56, 0.28, 1.13, 3.83, 5.19, 1.63, 1.58, 0.98, 0.37, 0.60, 0.18 
Kenna Ponzio, 14, 5, 9, 0, 0.357, 0.16, 0, 0, 123, 83, 105, 6.75, 8.54, -1.79, 0.69, 0.77, 0.66, 0.95, 4.39, 5.20, 1.54, 1.64, 0.41, 0.46, 0.62, 0.38 
Marlee Powers, 22, 6, 16, 0, 0.273, 0.28, 0, 1.0, 177, 108, 136, 6.10, 7.68, -1.58, 0.84, 0.38, 0.35, 1.20, 4.07, 4.92, 1.50, 1.56, 1.02, 0.30, 0.46, 0.25 
Ekaterina Prytkova, 4, 1, 3, 0, 0.250, 0.33, 0, 0, 31, 20, 32, 6.45, 10.32, -3.87, 1.00, 0.67, 0.31, 1.38, 4.19, 5.81, 1.54, 1.78, 0.00, 0.33, 0.69, 0.19 
Adele Purcell, 39, 16, 23, 0, 0.410, 0.20, 1.0, 0, 290, 184, 233, 6.34, 8.03, -1.69, 0.76, 0.55, 0.48, 1.11, 4.07, 4.86, 1.56, 1.65, 1.07, 0.38, 0.47, 0.29 
Taylor Reese-Hansen, 14, 6, 8, 0, 0.429, 0.26, 0, 0, 101, 69, 84, 6.83, 8.32, -1.49, 0.88, 0.63, 0.50, 1.02, 4.46, 4.85, 1.53, 1.71, 0.69, 0.41, 0.52, 0.37 
Evita Regza, 4, 1, 3, 0, 0.250, 0.42, 0, 0, 27, 20, 27, 7.41, 10.00, -2.59, 1.42, 0.58, 0.20, 1.33, 4.07, 4.81, 1.82, 2.08, 1.11, 0.33, 0.44, 0.20 
Marijke Reitsma, 4, 0, 4, 0, 0.000, 0.12, 0, 0, 29, 11, 46, 3.79, 15.86, -12.07, 0.50, 0.89, 0.18, 2.73, 2.76, 6.90, 1.38, 2.30, 0.34, 0.56, 0.20, 0.09 
Hannah Rempel, 5, 2, 3, 0, 0.400, 0.07, 0, 0, 33, 23, 23, 6.97, 6.97, 0.00, 0.50, 0.50, 0.88, 0.88, 4.55, 4.55, 1.53, 1.53, 0.91, 0.44, 0.50, 0.47 
Kim Rhyme, 20, 9, 11, 0, 0.450, 0.28, 0, 0.0, 183, 131, 136, 7.16, 7.43, -0.27, 1.00, 0.46, 0.46, 1.00, 4.70, 4.26, 1.52, 1.74, 1.04, 0.28, 0.48, 0.31 
Brette Richards, 9, 3, 6, 0, 0.333, 0.35, 0, 0, 65, 47, 46, 7.23, 7.08, 0.15, 1.06, 0.47, 0.35, 0.97, 4.31, 4.77, 1.68, 1.48, 0.92, 0.24, 0.70, 0.16 
Fabienne Rieder, 26, 6, 20, 0, 0.231, 0.20, 1.0, 0, 188, 110, 184, 5.85, 9.79, -3.94, 0.80, 0.79, 0.31, 1.22, 3.83, 5.69, 1.53, 1.72, 0.48, 0.44, 0.51, 0.20 
Darcy Robertson, 40, 19, 21, 0, 0.475, 0.27, 0, 0.5, 317, 224, 258, 7.07, 8.14, -1.07, 1.01, 0.43, 0.37, 1.24, 4.51, 4.80, 1.57, 1.70, 0.69, 0.28, 0.44, 0.24 
 Robson, 3, 1, 2, 0, 0.333, 0.08, 0, 0, 20, 10, 20, 5.00, 10.00, -5.00, 0.50, 0.92, 0.50, 1.13, 4.00, 5.50, 1.25, 1.82, 0.50, 0.58, 0.50, 0.38 
Kelsey Rocque, 56, 30, 26, 0, 0.536, 0.36, 0, 0.0, 447, 330, 304, 7.38, 6.80, 0.58, 1.15, 0.33, 0.32, 1.05, 4.63, 4.52, 1.59, 1.51, 0.85, 0.23, 0.60, 0.22 
Marianne Roervik, 31, 22, 9, 0, 0.710, 0.49, 0, 0.0, 244, 243, 141, 9.96, 5.78, 4.18, 1.49, 0.29, 0.51, 0.86, 4.80, 4.14, 2.08, 1.40, 1.07, 0.21, 0.66, 0.30 
Cassie Rogers, 13, 2, 11, 0, 0.154, 0.22, 0, 0, 118, 63, 109, 5.34, 9.24, -3.90, 0.75, 0.55, 0.26, 1.38, 3.47, 5.08, 1.54, 1.82, 1.44, 0.35, 0.43, 0.19 
Vlada Rumiantseva, 12, 11, 1, 0, 0.917, 0.68, 0, 0, 77, 99, 33, 12.86, 4.29, 8.57, 2.03, 0.21, 0.83, 0.56, 6.36, 3.25, 2.02, 1.32, 0.39, 0.17, 0.70, 0.54 
Kristen Ryan, 5, 4, 1, 0, 0.800, 0.33, 0, 0, 36, 29, 26, 8.06, 7.22, 0.83, 1.06, 0.33, 0.56, 1.11, 5.00, 3.89, 1.61, 1.86, 1.11, 0.22, 0.20, 0.39 
Abbey Salari, 3, 0, 3, 0, 0.000, 0.00, 0, 0, 18, 5, 23, 2.78, 12.78, -10.00, 0.42, 1.00, 0.00, 1.83, 2.78, 7.22, 1.00, 1.77, 0.00, 0.58, 0.33, 0.00 
Deb Santos, 7, 1, 6, 0, 0.143, 0.23, 0, 0, 50, 28, 43, 5.60, 8.60, -3.00, 0.88, 0.56, 0.24, 1.16, 3.60, 5.00, 1.56, 1.72, 1.40, 0.32, 0.35, 0.16 
Casey Scheidegger, 50, 32, 18, 0, 0.640, 0.32, 1.0, 1.0, 394, 288, 241, 7.31, 6.12, 1.19, 1.04, 0.30, 0.46, 0.88, 4.87, 3.98, 1.50, 1.54, 1.14, 0.21, 0.58, 0.33 
Lorraine Schneider, 38, 17, 21, 0, 0.447, 0.33, 1.0, 0, 298, 190, 200, 6.38, 6.71, -0.34, 0.93, 0.36, 0.32, 1.01, 4.23, 4.26, 1.51, 1.57, 1.51, 0.28, 0.54, 0.25 
