Team, GamesPlayed, Wins, Losses, Ties, PCT, HammerEfficiency, ExtraEndHammer, ExtraEndSteal, Ends, PointsFor, PointsAgainst, PointsFor/Game, PointsAgainst/Game, AvgDiff, HammerPF/E, HammerPA/E, NoHammerPF/E, NoHammerPA/E, EndsFor/Game, EndsAgainst/Game, PointsFor/End, PointsAgainst/End, BigEnds/Game, StealDefence, ForceEfficiency, StealEfficiency 
Amanda Smith, 3, 1, 2, 0, 0.333, 0.22, 0, 0, 21, 12, 20, 5.71, 9.52, -3.81, 1.00, 0.33, 0.25, 1.42, 4.29, 5.24, 1.33, 1.82, 0.48, 0.22, 0.44, 0.17 
Cynthia St-Georges, 5, 1, 4, 0, 0.200, 0.30, 0, 0, 45, 25, 44, 5.56, 9.78, -4.22, 0.81, 0.67, 0.17, 1.44, 3.56, 5.11, 1.56, 1.91, 1.33, 0.33, 0.43, 0.11 
Laurie St-Georges, 29, 10, 19, 0, 0.345, 0.26, 0, 0.5, 234, 148, 179, 6.32, 7.65, -1.32, 1.04, 0.39, 0.29, 1.09, 4.36, 4.70, 1.45, 1.63, 0.94, 0.27, 0.48, 0.24 
Rachel Steele, 17, 7, 10, 0, 0.412, 0.31, 0, 0, 143, 102, 95, 7.13, 6.64, 0.49, 0.97, 0.37, 0.48, 0.93, 4.62, 4.13, 1.55, 1.61, 1.26, 0.24, 0.56, 0.31 
Tiffany Steuber, 7, 3, 4, 0, 0.429, 0.17, 0, 0, 48, 24, 36, 5.00, 7.50, -2.50, 0.63, 0.70, 0.33, 0.81, 3.54, 5.00, 1.41, 1.50, 1.46, 0.44, 0.67, 0.24 
Taylour Stevens, 27, 20, 7, 0, 0.741, 0.45, 0, 0, 245, 209, 135, 8.53, 5.51, 3.02, 1.25, 0.24, 0.47, 0.85, 4.73, 3.96, 1.80, 1.39, 1.31, 0.21, 0.63, 0.29 
Erin Stewart, 5, 1, 4, 0, 0.200, 0.18, 0, 0, 42, 25, 46, 5.95, 10.95, -5.00, 0.67, 1.11, 0.54, 1.08, 4.76, 4.76, 1.25, 2.30, 0.48, 0.44, 0.33, 0.46 
Kellie Stiksma, 21, 5, 16, 0, 0.238, 0.25, 0, 0, 154, 96, 149, 6.23, 9.68, -3.44, 0.97, 0.65, 0.26, 1.29, 4.09, 5.06, 1.52, 1.91, 0.84, 0.33, 0.44, 0.22 
Delaney Strouse, 43, 22, 21, 0, 0.512, 0.35, 0.5, 1.0, 365, 290, 280, 7.95, 7.67, 0.27, 1.13, 0.48, 0.45, 1.06, 4.47, 4.79, 1.78, 1.60, 0.74, 0.32, 0.56, 0.27 
Selena Sturmay, 53, 29, 24, 0, 0.547, 0.33, 1.0, 0.0, 389, 300, 279, 7.71, 7.17, 0.54, 1.11, 0.42, 0.46, 0.99, 4.76, 4.47, 1.62, 1.60, 0.77, 0.31, 0.49, 0.32 
Sierra Sutherland, 4, 1, 3, 0, 0.250, 0.31, 0, 0, 26, 20, 33, 7.69, 12.69, -5.00, 1.46, 0.69, 0.08, 1.85, 3.46, 5.77, 2.22, 2.20, 0.77, 0.38, 0.30, 0.08 
Jacquie Swiderski, 3, 0, 3, 0, 0.000, 0.14, 0, 0, 19, 6, 31, 3.16, 16.32, -13.16, 0.43, 1.64, 0.00, 1.60, 2.11, 7.89, 1.50, 2.07, 0.00, 0.71, 0.80, 0.00 
Agnes Szentannai, 21, 11, 10, 0, 0.524, 0.28, 1.0, 0, 169, 124, 120, 7.34, 7.10, 0.24, 0.99, 0.47, 0.47, 0.96, 4.67, 4.67, 1.57, 1.52, 0.65, 0.29, 0.56, 0.27 
Anna Tamboli, 16, 11, 5, 0, 0.688, 0.40, 0, 0, 140, 130, 92, 9.29, 6.57, 2.71, 1.10, 0.49, 0.76, 0.82, 5.21, 4.14, 1.78, 1.59, 0.64, 0.28, 0.62, 0.42 
Cory Thiesse, 51, 27, 24, 0, 0.529, 0.32, 1.0, 0.0, 405, 310, 287, 7.65, 7.09, 0.57, 1.13, 0.33, 0.42, 1.06, 4.52, 4.54, 1.69, 1.56, 0.94, 0.26, 0.51, 0.25 
Lindsay Thorne, 3, 1, 2, 0, 0.333, 0.20, 0, 0, 21, 14, 19, 6.67, 9.05, -2.38, 0.90, 0.40, 0.45, 1.36, 4.29, 4.76, 1.56, 1.90, 0.95, 0.30, 0.43, 0.18 
Silvana Tirinzoni, 77, 59, 18, 0, 0.766, 0.44, 1.0, 0.3333333333333333, 646, 540, 371, 8.36, 5.74, 2.62, 1.29, 0.22, 0.42, 0.90, 4.98, 4.04, 1.68, 1.42, 0.98, 0.16, 0.65, 0.27 
Talyia Tober, 4, 1, 3, 0, 0.250, 0.09, 0, 0, 25, 15, 25, 6.00, 10.00, -4.00, 0.58, 0.92, 0.62, 1.08, 3.60, 5.60, 1.67, 1.79, 0.80, 0.50, 0.38, 0.31 
Elizaveta Trukhina, 4, 1, 3, 0, 0.250, 0.24, 0, 0, 29, 18, 27, 6.21, 9.31, -3.10, 0.71, 1.00, 0.50, 0.83, 4.14, 5.52, 1.50, 1.69, 0.34, 0.59, 0.50, 0.42 
Alina Tschumakow, 5, 3, 2, 0, 0.600, 0.32, 0, 0, 45, 31, 32, 6.89, 7.11, -0.22, 1.10, 0.38, 0.33, 1.00, 4.67, 4.44, 1.48, 1.60, 0.89, 0.24, 0.60, 0.29 
Kimberly Tuck, 4, 2, 2, 0, 0.500, 0.08, 0, 0, 25, 20, 17, 8.00, 6.80, 1.20, 0.69, 0.62, 0.92, 0.75, 4.40, 4.80, 1.82, 1.42, 0.80, 0.46, 0.67, 0.42 
Liisa Turmann, 30, 8, 22, 0, 0.267, 0.20, 0, 0, 237, 133, 214, 5.61, 9.03, -3.42, 0.77, 0.54, 0.32, 1.33, 3.92, 4.94, 1.43, 1.83, 1.14, 0.34, 0.38, 0.24 
Terry Ursel, 8, 1, 7, 0, 0.125, 0.16, 0, 0, 69, 34, 63, 4.93, 9.13, -4.20, 0.72, 0.56, 0.24, 1.30, 3.77, 4.93, 1.31, 1.85, 1.30, 0.31, 0.43, 0.18 
Asta Vaicekonyte, 10, 0, 10, 0, 0.000, 0.03, 0, 0, 63, 18, 91, 2.86, 14.44, -11.59, 0.37, 1.16, 0.16, 1.88, 2.70, 6.98, 1.06, 2.07, 0.32, 0.63, 0.25, 0.16 
Caro van Oosterwyck, 8, 1, 7, 0, 0.125, 0.24, 0, 0, 57, 36, 68, 6.32, 11.93, -5.61, 0.76, 0.97, 0.43, 1.52, 3.68, 6.14, 1.71, 1.94, 0.18, 0.53, 0.35, 0.26 
Caro van Oosterwyck, 8, 1, 7, 0, 0.125, 0.24, 0, 0, 57, 36, 68, 6.32, 11.93, -5.61, 0.76, 0.97, 0.43, 1.52, 3.68, 6.14, 1.71, 1.94, 0.18, 0.53, 0.35, 0.26 
Clare Viau, 16, 10, 6, 0, 0.625, 0.41, 0, 0, 143, 132, 108, 9.23, 7.55, 1.68, 1.14, 0.56, 0.70, 0.96, 4.83, 4.62, 1.91, 1.64, 0.56, 0.31, 0.55, 0.35 
Laura Walker, 68, 37, 31, 0, 0.544, 0.39, 0.0, 0.0, 550, 449, 366, 8.16, 6.65, 1.51, 1.19, 0.30, 0.46, 1.02, 4.78, 4.35, 1.71, 1.53, 0.87, 0.23, 0.55, 0.28 
Emma Wallingford, 25, 10, 15, 0, 0.400, 0.31, 0, 0.0, 187, 135, 139, 7.22, 7.43, -0.21, 0.93, 0.50, 0.46, 1.05, 4.44, 4.81, 1.63, 1.54, 0.75, 0.34, 0.56, 0.27 
Quinn Walsh, 10, 0, 10, 0, 0.000, 0.07, 0, 0, 57, 22, 94, 3.86, 16.49, -12.63, 0.50, 1.22, 0.24, 2.20, 3.16, 5.96, 1.22, 2.76, 0.88, 0.47, 0.26, 0.16 
Meghan Walter, 23, 8, 15, 0, 0.348, 0.28, 0, 0, 186, 126, 151, 6.77, 8.12, -1.34, 0.98, 0.53, 0.39, 1.08, 4.35, 4.62, 1.56, 1.76, 1.02, 0.29, 0.52, 0.25 
Sarah Wark, 19, 7, 12, 0, 0.368, 0.32, 0, 0, 153, 113, 128, 7.39, 8.37, -0.98, 1.13, 0.44, 0.36, 1.22, 4.58, 4.64, 1.61, 1.80, 0.78, 0.27, 0.41, 0.24 
Maddy Warriner, 21, 8, 13, 0, 0.381, 0.24, 1.0, 0, 158, 101, 129, 6.39, 8.16, -1.77, 0.82, 0.45, 0.42, 1.25, 4.30, 4.81, 1.49, 1.70, 0.89, 0.31, 0.50, 0.25 
Katelyn Wasylkiw, 33, 20, 13, 0, 0.606, 0.29, 1.0, 0, 245, 200, 191, 8.16, 7.80, 0.37, 1.07, 0.54, 0.56, 1.02, 4.98, 4.73, 1.64, 1.65, 0.29, 0.34, 0.55, 0.36 
Kristy Watling, 41, 25, 16, 0, 0.610, 0.40, 0, 0, 296, 254, 216, 8.58, 7.30, 1.28, 1.26, 0.43, 0.52, 0.99, 4.66, 4.66, 1.84, 1.57, 0.68, 0.28, 0.55, 0.30 
Amy Wheatcroft, 10, 3, 7, 0, 0.300, 0.18, 0.0, 0, 85, 47, 63, 5.53, 7.41, -1.88, 0.73, 0.47, 0.35, 1.05, 4.00, 4.82, 1.38, 1.54, 1.18, 0.38, 0.54, 0.30 
Stasia Wisniewski, 38, 17, 21, 0, 0.447, 0.31, 0, 0.0, 298, 232, 230, 7.79, 7.72, 0.07, 0.99, 0.50, 0.58, 1.03, 4.66, 4.70, 1.67, 1.64, 0.64, 0.38, 0.41, 0.36 
Gabby Wood, 13, 5, 8, 0, 0.385, 0.29, 0, 0.0, 99, 65, 88, 6.57, 8.89, -2.32, 0.90, 0.58, 0.43, 1.18, 4.24, 4.55, 1.55, 1.96, 1.21, 0.35, 0.36, 0.33 
Rachel Workin, 31, 13, 18, 0, 0.419, 0.26, 0.5, 0, 251, 165, 189, 6.57, 7.53, -0.96, 0.90, 0.41, 0.41, 1.10, 4.38, 4.62, 1.50, 1.63, 1.00, 0.31, 0.47, 0.28 
Isabella Wrana, 60, 37, 23, 0, 0.617, 0.43, 0, 0.5, 435, 384, 287, 8.83, 6.60, 2.23, 1.19, 0.36, 0.59, 0.95, 4.97, 4.05, 1.78, 1.63, 0.99, 0.23, 0.57, 0.35 
Nora Wuest, 25, 14, 11, 0, 0.560, 0.35, 0, 0.0, 187, 157, 138, 8.40, 7.38, 1.02, 1.07, 0.34, 0.64, 1.08, 4.97, 4.22, 1.69, 1.75, 0.80, 0.24, 0.41, 0.34 
Jessica Wytrychowski, 25, 10, 15, 0, 0.400, 0.27, 0, 0, 210, 132, 150, 6.29, 7.14, -0.86, 0.93, 0.44, 0.32, 0.99, 4.19, 4.76, 1.50, 1.50, 1.05, 0.31, 0.61, 0.24 
Sae Yamamoto, 5, 2, 3, 0, 0.400, 0.18, 0, 0, 37, 25, 25, 6.76, 6.76, 0.00, 0.89, 0.26, 0.44, 1.11, 4.86, 4.05, 1.39, 1.67, 1.08, 0.21, 0.36, 0.28 
Sae Yamamoto, 5, 2, 3, 0, 0.400, 0.18, 0, 0, 37, 25, 25, 6.76, 6.76, 0.00, 0.89, 0.26, 0.44, 1.11, 4.86, 4.05, 1.39, 1.67, 1.08, 0.21, 0.36, 0.28 
Dilsat Yildiz, 40, 15, 25, 0, 0.375, 0.35, 0, 0.0, 343, 250, 288, 7.29, 8.40, -1.11, 1.21, 0.46, 0.28, 1.19, 4.37, 4.81, 1.67, 1.75, 0.82, 0.27, 0.45, 0.20 
Sayaka Yoshimura, 25, 13, 12, 0, 0.520, 0.40, 1.0, 0, 224, 169, 151, 7.54, 6.74, 0.80, 1.27, 0.23, 0.28, 1.09, 4.78, 4.55, 1.58, 1.48, 0.67, 0.18, 0.59, 0.22 
Mackenzie Zacharias, 74, 45, 29, 0, 0.608, 0.34, 1.0, 0, 581, 442, 382, 7.61, 6.57, 1.03, 1.08, 0.36, 0.46, 0.94, 4.63, 4.20, 1.64, 1.57, 1.17, 0.24, 0.53, 0.30 
Ajda Zaveljcina, 13, 3, 10, 0, 0.231, 0.20, 0, 0.0, 119, 74, 113, 6.22, 9.50, -3.28, 0.95, 0.51, 0.30, 1.38, 4.54, 4.79, 1.37, 1.98, 0.67, 0.25, 0.36, 0.23 
Ajda Zavrtanik Drglin, 10, 5, 5, 0, 0.500, 0.24, 0, 0.0, 74, 55, 47, 7.43, 6.35, 1.08, 0.88, 0.36, 0.63, 0.85, 4.73, 4.46, 1.57, 1.42, 0.81, 0.30, 0.61, 0.39 
Tori Zemmelink, 4, 1, 3, 0, 0.250, 0.23, 0, 0, 31, 16, 21, 5.16, 6.77, -1.61, 0.71, 0.35, 0.29, 1.07, 3.55, 4.19, 1.45, 1.62, 2.26, 0.29, 0.50, 0.21 
Nola Zingel, 3, 0, 3, 0, 0.000, 0.00, 0, 0, 19, 3, 23, 1.58, 12.11, -10.53, 0.15, 1.00, 0.17, 1.67, 1.58, 7.37, 1.00, 1.64, 1.05, 0.69, 0.20, 0.17 
