Team, GamesPlayed, Wins, Losses, Ties, PCT, HammerEfficiency, StealDefence, StealEfficiency, ForceEfficiency, BlankEnds, BlankEnds/Game, ExtraEndHammer, ExtraEndSteal, Ends, PointsFor, PointsAgainst, PointsFor/Game, PointsAgainst/Game, AvgDiff, HammerPF/E, HammerPA/E, NoHammerPF/E, NoHammerPA/E, EndsFor/Game, EndsAgainst/Game, PointsFor/End, PointsAgainst/End 
Skylar Ackerman, 53, 33, 20, 0, 0.623, 0.40, 0.20, 0.31, 0.45, 25, 0.91, 0, 0.5, 397, 334, 269, 8.41, 6.78, 1.64, 1.20, 0.28, 0.46, 1.11, 5.04, 4.06, 1.67, 1.67 
Sarah Anderson, 44, 30, 14, 0, 0.682, 0.36, 0.24, 0.34, 0.54, 20, 1.20, 0.0, 0, 326, 268, 190, 8.22, 5.83, 2.39, 1.10, 0.31, 0.55, 0.85, 4.85, 3.96, 1.70, 1.47 
Sherry Anderson, 36, 19, 17, 0, 0.528, 0.36, 0.30, 0.33, 0.51, 12, 0.83, 0, 0, 265, 193, 201, 7.28, 7.58, -0.30, 0.98, 0.44, 0.48, 1.08, 4.68, 4.49, 1.56, 1.69 
Hailey Armstrong, 37, 18, 19, 0, 0.486, 0.29, 0.34, 0.27, 0.50, 4, 0.60, 0, 0, 250, 181, 206, 7.24, 8.24, -1.00, 1.05, 0.50, 0.41, 1.13, 4.44, 4.96, 1.63, 1.66 
Cathy Auld, 29, 14, 15, 0, 0.483, 0.31, 0.35, 0.26, 0.57, 4, 0.46, 1.0, 0, 217, 160, 163, 7.37, 7.51, -0.14, 1.08, 0.46, 0.36, 1.07, 4.47, 5.07, 1.65, 1.48 
Brett Barber, 28, 6, 22, 0, 0.214, 0.28, 0.44, 0.23, 0.48, 4, 0.47, 0, 0.0, 192, 124, 198, 6.46, 10.31, -3.85, 0.87, 0.78, 0.38, 1.33, 3.91, 5.63, 1.65, 1.83 
Penny Barker, 39, 26, 13, 0, 0.667, 0.35, 0.25, 0.39, 0.58, 4, 0.49, 0, 0, 285, 257, 185, 9.02, 6.49, 2.53, 1.26, 0.34, 0.60, 0.91, 5.37, 4.14, 1.68, 1.57 
Madison Bear, 28, 16, 12, 0, 0.571, 0.41, 0.32, 0.38, 0.58, 3, 0.62, 0.0, 0.0, 210, 177, 135, 8.43, 6.43, 2.00, 1.19, 0.45, 0.56, 0.80, 5.00, 4.38, 1.69, 1.47 
Hailey Birnie, 13, 4, 9, 0, 0.308, 0.30, 0.44, 0.20, 0.45, 0, 0.58, 0, 0, 103, 71, 104, 6.89, 10.10, -3.20, 0.96, 0.74, 0.35, 1.35, 3.98, 5.44, 1.73, 1.86 
Suzanne Birt, 42, 26, 16, 0, 0.619, 0.39, 0.23, 0.33, 0.55, 17, 1.17, 0, 0, 333, 267, 200, 8.02, 6.01, 2.01, 1.14, 0.28, 0.51, 0.88, 4.86, 3.96, 1.65, 1.52 
