Team, GamesPlayed, Wins, Losses, Ties, PCT, HammerEfficiency, StealDefence, StealEfficiency, ForceEfficiency, BlankEnds, BlankEnds/Game, ExtraEndHammer, ExtraEndSteal, Ends, PointsFor, PointsAgainst, PointsFor/Game, PointsAgainst/Game, AvgDiff, HammerPF/E, HammerPA/E, NoHammerPF/E, NoHammerPA/E, EndsFor/Game, EndsAgainst/Game, PointsFor/End, PointsAgainst/End 
Jennifer Jones, 114, 90, 24, 0, 0.789, N/A, N/A, N/A, N/A, N/A, N/A, 1.0, 1.0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Anna Hasselborg, 101, 77, 24, 0, 0.762, N/A, N/A, N/A, N/A, N/A, N/A, 0.8333333333333334, 0.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Kerri Einarson, 102, 71, 31, 0, 0.696, N/A, N/A, N/A, N/A, N/A, N/A, 1.0, 0.0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Jamie Sinclair, 110, 71, 39, 0, 0.645, N/A, N/A, N/A, N/A, N/A, N/A, 0.8, 0.25, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Isabella Wrana, 90, 69, 21, 0, 0.767, N/A, N/A, N/A, N/A, N/A, N/A, 0.3333333333333333, 0.3333333333333333, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Victoria Moiseeva, 103, 68, 35, 0, 0.660, N/A, N/A, N/A, N/A, N/A, N/A, 0.25, 0.2222222222222222, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Eve Muirhead, 96, 65, 31, 0, 0.677, N/A, N/A, N/A, N/A, N/A, N/A, 0.8571428571428571, 0.25, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
EunJung Kim, 87, 59, 28, 0, 0.678, N/A, N/A, N/A, N/A, N/A, N/A, 1.0, 0.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Satsuki Fujisawa, 92, 54, 38, 0, 0.587, N/A, N/A, N/A, N/A, N/A, N/A, 1.0, 0.3333333333333333, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Binia Feltscher, 87, 53, 34, 0, 0.609, N/A, N/A, N/A, N/A, N/A, N/A, 1.0, 0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Darcy Robertson, 86, 52, 34, 0, 0.605, N/A, N/A, N/A, N/A, N/A, N/A, 0.6666666666666666, 0.14285714285714285, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Silvana Tirinzoni, 84, 51, 33, 0, 0.607, N/A, N/A, N/A, N/A, N/A, N/A, 1.0, 0.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Bingyu Wang, 75, 50, 25, 0, 0.667, N/A, N/A, N/A, N/A, N/A, N/A, 0.625, 0.4, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Chelsea Carey, 72, 49, 23, 0, 0.681, N/A, N/A, N/A, N/A, N/A, N/A, 1.0, 0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Hannah Fleming, 79, 49, 30, 0, 0.620, N/A, N/A, N/A, N/A, N/A, N/A, 0.7142857142857143, 0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Nina Roth, 76, 46, 30, 0, 0.605, N/A, N/A, N/A, N/A, N/A, N/A, 1.0, 0.7142857142857143, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Kelsey Rocque, 70, 43, 27, 0, 0.614, N/A, N/A, N/A, N/A, N/A, N/A, 0.5, 1.0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Rachel Homan, 65, 42, 23, 0, 0.646, N/A, N/A, N/A, N/A, N/A, N/A, 0.3333333333333333, 0.0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Alina Paetz, 74, 41, 33, 0, 0.554, N/A, N/A, N/A, N/A, N/A, N/A, 0.5, 0.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Anna Sidorova, 76, 40, 36, 0, 0.526, N/A, N/A, N/A, N/A, N/A, N/A, 1.0, 0.0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Ayumi Ogasawara, 70, 39, 31, 0, 0.557, N/A, N/A, N/A, N/A, N/A, N/A, 1.0, 0.25, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Cory Christensen, 71, 39, 32, 0, 0.549, N/A, N/A, N/A, N/A, N/A, N/A, 0.8, 0.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Shannon Birchard, 61, 38, 23, 0, 0.623, N/A, N/A, N/A, N/A, N/A, N/A, 1.0, 0.6666666666666666, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Michelle Englot, 69, 35, 34, 0, 0.507, N/A, N/A, N/A, N/A, N/A, N/A, 0.75, 0.0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Val Sweeting, 59, 34, 25, 0, 0.576, N/A, N/A, N/A, N/A, N/A, N/A, 1.0, 1.0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
Casey Scheidegger, 59, 34, 25, 0, 0.576, N/A, N/A, N/A, N/A, N/A, N/A, 0.0, 0.3333333333333333, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A 
