Team, GamesPlayed, Wins, Losses, Ties, PCT, HammerEfficiency, StealDefence, StealEfficiency, ForceEfficiency, BlankEnds, BlankEnds/Game, ExtraEndHammer, ExtraEndSteal, Ends, PointsFor, PointsAgainst, PointsFor/Game, PointsAgainst/Game, AvgDiff, HammerPF/E, HammerPA/E, NoHammerPF/E, NoHammerPA/E, EndsFor/Game, EndsAgainst/Game, PointsFor/End, PointsAgainst/End 
Melissa Adams, 10, 4, 6, 0, 0.400, 0.32, 0.24, 0.42, 0.52, 3, 0.56, 0, 0, 72, 61, 55, 8.47, 7.64, 0.83, 1.03, 0.53, 0.68, 0.97, 5.42, 4.03, 1.56, 1.90 
Alexandra Agre, 42, 19, 23, 0, 0.452, 0.28, 0.30, 0.30, 0.53, 3, 0.39, 1.0, 1.0, 331, 230, 278, 6.95, 8.40, -1.45, 1.09, 0.55, 0.36, 1.08, 4.74, 4.86, 1.47, 1.73 
Gina Aitken, 21, 8, 13, 0, 0.381, 0.34, 0.22, 0.19, 0.57, 18, 1.50, 0.0, 0.3333333333333333, 206, 127, 145, 6.17, 7.04, -0.87, 0.97, 0.32, 0.23, 1.12, 4.13, 4.37, 1.49, 1.61 
Lindsey Allen, 3, 0, 3, 0, 0.000, 0.08, 0.50, 0.00, 0.56, 0, 0.45, 0, 0, 22, 8, 26, 3.64, 11.82, -8.18, 0.67, 0.92, 0.00, 1.50, 2.73, 6.82, 1.33, 1.73 
Amy Lou Anderson, 23, 8, 15, 0, 0.348, 0.30, 0.25, 0.30, 0.45, 11, 0.71, 0, 1.0, 183, 121, 152, 6.61, 8.31, -1.69, 0.91, 0.41, 0.41, 1.25, 4.64, 4.64, 1.42, 1.79 
Sarah Anderson, 40, 22, 18, 0, 0.550, 0.37, 0.27, 0.29, 0.55, 25, 1.05, 0.0, 0, 315, 259, 231, 8.22, 7.33, 0.89, 1.10, 0.41, 0.48, 1.13, 4.54, 4.41, 1.81, 1.66 
LeAnne Andrews, 6, 2, 4, 0, 0.333, 0.25, 0.28, 0.20, 0.68, 4, 0.88, 0, 0, 57, 33, 44, 5.79, 7.72, -1.93, 0.84, 0.56, 0.24, 1.04, 4.21, 4.91, 1.38, 1.57 
Lorraine Arguin, 9, 4, 5, 0, 0.444, 0.26, 0.31, 0.36, 0.54, 1, 0.54, 0, 0, 74, 53, 56, 7.16, 7.57, -0.41, 0.97, 0.50, 0.52, 0.95, 4.86, 4.59, 1.47, 1.65 
Meghan Armit, 10, 5, 5, 0, 0.500, 0.27, 0.47, 0.31, 0.65, 3, 0.92, 0, 0, 65, 46, 54, 7.08, 8.31, -1.23, 0.92, 0.72, 0.45, 0.97, 3.85, 5.23, 1.84, 1.59 
Mary-Anne Arsenault, 40, 23, 17, 0, 0.575, 0.30, 0.21, 0.24, 0.69, 25, 1.51, 1.0, 0.0, 332, 214, 191, 6.45, 5.75, 0.69, 0.96, 0.26, 0.33, 0.88, 4.34, 4.16, 1.49, 1.38 
Cathy Auld, 42, 26, 16, 0, 0.619, 0.37, 0.17, 0.26, 0.51, 8, 0.72, 0.75, 1.0, 347, 267, 228, 7.69, 6.57, 1.12, 1.26, 0.23, 0.33, 1.03, 5.04, 4.24, 1.53, 1.55 
Greta Aurell, 5, 0, 5, 0, 0.000, 0.17, 0.38, 0.13, 0.55, 3, 1.62, 0, 0, 37, 15, 32, 4.05, 8.65, -4.59, 0.62, 0.76, 0.13, 1.00, 3.24, 5.14, 1.25, 1.68 
Coralie Ayre, 11, 1, 10, 0, 0.091, 0.29, 0.31, 0.19, 0.43, 10, 1.87, 0, 0, 91, 44, 76, 4.84, 8.35, -3.52, 0.73, 0.52, 0.21, 1.19, 3.41, 4.73, 1.42, 1.77 
Fabienne Bachmann-Fuerbringer, 28, 7, 21, 0, 0.250, 0.28, 0.27, 0.15, 0.49, 21, 1.58, 0, 0.0, 222, 123, 175, 5.54, 7.88, -2.34, 0.86, 0.35, 0.20, 1.29, 3.65, 4.77, 1.52, 1.65 
Kelly Backman, 27, 14, 13, 0, 0.519, 0.30, 0.23, 0.23, 0.54, 24, 2.17, 0.5, 1.0, 235, 145, 149, 6.17, 6.34, -0.17, 0.93, 0.35, 0.32, 0.91, 3.96, 3.87, 1.56, 1.64 
Holly Baird, 36, 18, 18, 0, 0.500, 0.24, 0.30, 0.31, 0.43, 19, 1.41, 0, 0, 276, 175, 200, 6.34, 7.25, -0.91, 0.86, 0.41, 0.43, 1.01, 4.28, 4.31, 1.48, 1.68 
Marika Bakewell, 27, 10, 17, 0, 0.370, 0.26, 0.26, 0.22, 0.46, 15, 1.28, 1.0, 1.0, 218, 130, 169, 5.96, 7.75, -1.79, 0.87, 0.42, 0.31, 1.14, 4.17, 4.54, 1.43, 1.71 
Glenys Bakker, 10, 4, 6, 0, 0.400, 0.24, 0.28, 0.33, 0.41, 6, 1.07, 0, 0.0, 75, 55, 61, 7.33, 8.13, -0.80, 0.92, 0.38, 0.53, 1.28, 4.53, 4.40, 1.62, 1.85 
Nicole Baldwin, 6, 2, 4, 0, 0.333, 0.33, 0.08, 0.17, 0.52, 0, 0.37, 0, 0, 54, 48, 40, 8.89, 7.41, 1.48, 1.46, 0.13, 0.43, 1.23, 5.00, 4.63, 1.78, 1.60 
Brett Barber, 31, 15, 16, 0, 0.484, 0.34, 0.32, 0.25, 0.54, 10, 1.07, 0, 0.5, 252, 177, 184, 7.02, 7.30, -0.28, 1.06, 0.48, 0.34, 0.98, 4.25, 4.68, 1.65, 1.56 
Penny Barker, 16, 9, 7, 0, 0.563, 0.38, 0.25, 0.30, 0.63, 5, 0.63, 0, 0, 112, 92, 85, 8.21, 7.59, 0.63, 1.13, 0.45, 0.53, 1.05, 4.73, 4.64, 1.74, 1.63 
Nicole Beausoleil, 3, 0, 3, 0, 0.000, 0.53, 0.27, 0.08, 0.33, 0, 0.00, 0, 0, 28, 23, 30, 8.21, 10.71, -2.50, 1.40, 0.47, 0.15, 1.77, 4.29, 5.71, 1.92, 1.88 
Eve Belisle, 16, 10, 6, 0, 0.625, 0.40, 0.17, 0.31, 0.51, 15, 1.67, 0, 0, 132, 93, 74, 7.05, 5.61, 1.44, 1.00, 0.18, 0.42, 0.93, 4.55, 3.79, 1.55, 1.48 
Sabine Belkofer-Krehnert, 6, 4, 2, 0, 0.667, 0.32, 0.41, 0.36, 0.71, 2, 0.55, 1.0, 0, 55, 42, 37, 7.64, 6.73, 0.91, 0.93, 0.56, 0.61, 0.79, 4.36, 5.09, 1.75, 1.32 
Jill Belof, 7, 1, 6, 0, 0.143, 0.09, 0.58, 0.33, 0.42, 1, 0.24, 0, 0, 42, 24, 49, 5.71, 11.67, -5.95, 0.54, 0.92, 0.61, 1.50, 3.57, 6.19, 1.60, 1.88 
Courtney Benson, 59, 32, 27, 0, 0.542, 0.29, 0.32, 0.32, 0.54, 22, 1.06, 0.0, 0.5, 451, 329, 317, 7.29, 7.03, 0.27, 0.98, 0.50, 0.48, 0.91, 4.48, 4.46, 1.63, 1.58 
Teryn Berlando, 31, 12, 19, 0, 0.387, 0.36, 0.28, 0.28, 0.34, 13, 0.95, 0, 0, 222, 151, 182, 6.80, 8.20, -1.40, 0.96, 0.48, 0.39, 1.17, 4.46, 4.59, 1.53, 1.78 
Cheryl Bernard, 47, 30, 17, 0, 0.638, 0.36, 0.21, 0.24, 0.58, 30, 1.29, 1.0, 1.0, 396, 288, 234, 7.27, 5.91, 1.36, 1.07, 0.26, 0.34, 0.97, 4.57, 4.14, 1.59, 1.43 
Shirley Berry, 5, 2, 3, 0, 0.400, 0.10, 0.23, 0.24, 0.36, 2, 0.93, 1.0, 0, 43, 24, 35, 5.58, 8.14, -2.56, 0.82, 0.32, 0.29, 1.33, 4.65, 4.42, 1.20, 1.84 
Shannon Birchard, 11, 2, 9, 0, 0.182, 0.21, 0.32, 0.13, 0.48, 2, 1.14, 0, 0, 88, 42, 80, 4.77, 9.09, -4.32, 0.88, 0.56, 0.13, 1.21, 3.64, 5.23, 1.31, 1.74 
Suzanne Birt, 23, 15, 8, 0, 0.652, 0.52, 0.16, 0.22, 0.57, 6, 0.76, 0.0, 0.5, 184, 152, 120, 8.26, 6.52, 1.74, 1.41, 0.20, 0.30, 1.06, 4.78, 4.46, 1.73, 1.46 
Cindy Bishop, 3, 0, 3, 0, 0.000, 0.11, 0.10, 0.23, 0.40, 1, 0.43, 0, 0, 23, 13, 21, 5.65, 9.13, -3.48, 1.00, 0.20, 0.23, 1.46, 4.78, 4.78, 1.18, 1.91 
Sarah Boland, 9, 3, 6, 0, 0.333, 0.22, 0.45, 0.37, 0.43, 3, 0.51, 0, 0, 79, 54, 70, 6.84, 8.86, -2.03, 0.82, 0.75, 0.51, 1.06, 4.30, 5.19, 1.59, 1.71 
Chelsea Brandwood, 4, 0, 4, 0, 0.000, 0.08, 0.33, 0.00, 0.27, 0, 1.15, 0, 0, 26, 9, 28, 3.46, 10.77, -7.31, 0.75, 0.33, 0.00, 1.71, 3.08, 5.77, 1.13, 1.87 
Meaghan Brezden, 10, 5, 5, 0, 0.500, 0.26, 0.26, 0.26, 0.52, 4, 1.52, 0, 0, 92, 64, 61, 6.96, 6.63, 0.33, 0.95, 0.28, 0.51, 0.94, 4.24, 4.24, 1.64, 1.56 
Corryn Brown, 17, 10, 7, 0, 0.588, 0.33, 0.19, 0.29, 0.57, 7, 1.30, 0, 0, 123, 92, 80, 7.48, 6.50, 0.98, 1.03, 0.29, 0.49, 0.97, 4.80, 3.90, 1.56, 1.67 
Erika Brown, 68, 33, 35, 0, 0.485, 0.34, 0.22, 0.27, 0.51, 21, 0.89, 0.5, 0.0, 528, 383, 380, 7.25, 7.20, 0.06, 1.10, 0.33, 0.39, 1.07, 4.68, 4.43, 1.55, 1.62 
Joelle Brown, 30, 18, 12, 0, 0.600, 0.28, 0.21, 0.33, 0.58, 8, 0.93, 0, 0, 225, 170, 138, 7.56, 6.13, 1.42, 1.06, 0.31, 0.50, 0.87, 5.02, 4.04, 1.50, 1.52 
Heather Burnett, 6, 3, 3, 0, 0.500, 0.24, 0.21, 0.30, 0.42, 2, 1.03, 0, 0, 39, 24, 28, 6.15, 7.18, -1.03, 0.95, 0.26, 0.30, 1.15, 4.87, 4.10, 1.26, 1.75 
Krysta Burns, 9, 4, 5, 0, 0.444, 0.33, 0.27, 0.32, 0.57, 1, 0.35, 0.0, 0, 85, 67, 63, 7.88, 7.41, 0.47, 1.20, 0.41, 0.41, 1.05, 5.06, 4.59, 1.56, 1.62 
Betty Buurma, 5, 1, 4, 0, 0.200, 0.26, 0.53, 0.17, 0.44, 0, 0.32, 0, 0, 31, 20, 36, 6.45, 11.61, -5.16, 0.89, 0.89, 0.25, 1.58, 3.55, 6.13, 1.82, 1.89 
Chrissy Cadorin, 28, 10, 18, 0, 0.357, 0.31, 0.33, 0.19, 0.46, 8, 0.80, 0, 1.0, 212, 140, 179, 6.60, 8.44, -1.84, 1.01, 0.51, 0.26, 1.23, 4.10, 5.09, 1.61, 1.66 
Kate Cameron, 27, 12, 15, 0, 0.444, 0.31, 0.20, 0.25, 0.54, 18, 1.27, 0, 1.0, 212, 142, 147, 6.70, 6.93, -0.24, 1.01, 0.33, 0.32, 1.07, 4.43, 4.29, 1.51, 1.62 
Chelsea Carey, 77, 48, 29, 0, 0.623, 0.35, 0.19, 0.22, 0.58, 54, 1.51, 1.0, 0.3333333333333333, 648, 448, 400, 6.91, 6.17, 0.74, 1.06, 0.23, 0.32, 1.01, 4.35, 4.14, 1.59, 1.49 
Katrina Carr, 6, 1, 5, 0, 0.167, 0.22, 0.43, 0.25, 0.33, 3, 0.81, 0, 0, 37, 19, 35, 5.14, 9.46, -4.32, 0.62, 0.67, 0.38, 1.31, 3.51, 5.68, 1.46, 1.67 
Heather Carr Olmstead, 9, 5, 4, 0, 0.556, 0.30, 0.29, 0.41, 0.50, 1, 0.55, 0, 0, 55, 46, 45, 8.36, 8.18, 0.18, 1.00, 0.67, 0.74, 0.91, 5.09, 4.36, 1.64, 1.88 
Kerry Clark, 33, 13, 20, 0, 0.394, 0.33, 0.20, 0.22, 0.51, 14, 1.03, 0.0, 0.0, 311, 203, 221, 6.53, 7.11, -0.58, 1.06, 0.30, 0.26, 1.11, 4.57, 4.41, 1.43, 1.61 
Kelly Cochrane, 3, 2, 1, 0, 0.667, 0.42, 0.33, 0.20, 0.57, 0, 0.45, 0, 0, 22, 16, 15, 7.27, 6.82, 0.45, 1.17, 0.42, 0.20, 1.00, 4.55, 5.00, 1.60, 1.36 
Krista Crowther, 3, 0, 3, 0, 0.000, 0.08, 0.50, 0.00, 0.56, 0, 0.45, 0, 0, 22, 8, 26, 3.64, 11.82, -8.18, 0.67, 0.92, 0.00, 1.50, 2.73, 6.82, 1.33, 1.73 
Stacie Curtis, 10, 6, 4, 0, 0.600, 0.30, 0.30, 0.23, 0.46, 1, 1.02, 0.0, 0, 88, 69, 61, 7.84, 6.93, 0.91, 1.18, 0.34, 0.39, 1.05, 4.55, 4.43, 1.73, 1.56 
Marg Cutcliffe, 8, 3, 5, 0, 0.375, 0.28, 0.32, 0.21, 0.59, 9, 1.76, 0, 0.0, 74, 42, 52, 5.68, 7.03, -1.35, 0.80, 0.46, 0.27, 1.00, 3.51, 4.73, 1.62, 1.49 
Jessica Daigle, 10, 4, 6, 0, 0.400, 0.33, 0.30, 0.20, 0.59, 3, 1.05, 1.0, 0.0, 95, 69, 73, 7.26, 7.68, -0.42, 1.17, 0.43, 0.31, 1.08, 4.11, 4.84, 1.77, 1.59 
Courtney de Winter, 2, 0, 2, 0, 0.000, 0.18, 0.46, 0.20, 0.00, 2, 1.11, 0, 0, 18, 10, 18, 5.56, 10.00, -4.44, 0.69, 0.62, 0.20, 2.00, 3.33, 5.56, 1.67, 1.80 
Delia DeJong, 25, 11, 14, 0, 0.440, 0.38, 0.33, 0.29, 0.47, 3, 0.59, 1.0, 0, 185, 138, 153, 7.46, 8.27, -0.81, 1.12, 0.52, 0.40, 1.11, 4.59, 4.81, 1.62, 1.72 
Janais DeJong, 3, 1, 2, 0, 0.333, 0.17, 0.50, 0.14, 0.33, 0, 0.00, 0, 0, 19, 11, 25, 5.79, 13.16, -7.37, 0.67, 0.92, 0.43, 2.00, 3.68, 6.32, 1.57, 2.08 
Anne Dillon, 18, 8, 10, 0, 0.444, 0.21, 0.32, 0.33, 0.60, 6, 1.02, 0, 1.0, 167, 103, 109, 6.17, 6.53, -0.36, 0.86, 0.48, 0.40, 0.81, 4.61, 4.37, 1.34, 1.49 
Kim Dolan, 22, 10, 12, 0, 0.455, 0.28, 0.21, 0.24, 0.54, 13, 1.46, 0, 0.25, 199, 127, 129, 6.38, 6.48, -0.10, 0.95, 0.27, 0.37, 0.97, 4.32, 4.22, 1.48, 1.54 
Norma Douglass, 19, 8, 11, 0, 0.421, 0.30, 0.32, 0.20, 0.50, 8, 0.82, 1.0, 0, 158, 100, 126, 6.33, 7.97, -1.65, 0.93, 0.41, 0.27, 1.27, 4.11, 5.06, 1.54, 1.58 
Tanilla Doyle, 23, 8, 15, 0, 0.348, 0.31, 0.26, 0.19, 0.35, 5, 0.94, 0, 0.0, 170, 118, 148, 6.94, 8.71, -1.76, 1.13, 0.39, 0.28, 1.32, 4.29, 4.76, 1.62, 1.83 
Chantal Duhaime, 14, 7, 7, 0, 0.500, 0.33, 0.35, 0.25, 0.52, 3, 0.74, 0, 0, 108, 79, 87, 7.31, 8.06, -0.74, 1.07, 0.60, 0.35, 1.04, 4.35, 4.91, 1.68, 1.64 
Sarah Dumais, 11, 4, 7, 0, 0.364, 0.20, 0.30, 0.31, 0.59, 9, 1.33, 0, 0, 98, 59, 68, 6.02, 6.94, -0.92, 0.75, 0.43, 0.42, 1.00, 4.29, 4.39, 1.40, 1.58 
Hollie Duncan, 35, 15, 20, 0, 0.429, 0.39, 0.23, 0.26, 0.53, 6, 0.76, 0.0, 0.0, 262, 208, 188, 7.94, 7.18, 0.76, 1.25, 0.31, 0.38, 1.08, 4.81, 4.43, 1.65, 1.62 
Madeleine Dupont, 27, 13, 14, 0, 0.481, 0.26, 0.37, 0.28, 0.62, 4, 0.47, 0, 0, 215, 163, 167, 7.58, 7.77, -0.19, 0.98, 0.54, 0.50, 1.05, 4.47, 5.07, 1.70, 1.53 
Emily Dwyer, 3, 1, 2, 0, 0.333, 0.25, 0.38, 0.38, 0.17, 1, 1.15, 0, 0, 26, 15, 18, 5.77, 6.92, -1.15, 0.77, 0.46, 0.38, 0.92, 4.62, 4.23, 1.25, 1.64 
Dianne Dykstra, 3, 1, 2, 0, 0.333, 0.15, 0.29, 0.23, 0.30, 1, 0.37, 0, 0.0, 27, 16, 25, 5.93, 9.26, -3.33, 0.86, 0.50, 0.31, 1.38, 4.44, 5.19, 1.33, 1.79 
Chantelle Eberle, 40, 25, 15, 0, 0.625, 0.38, 0.29, 0.27, 0.55, 24, 1.22, 1.0, 0, 294, 229, 205, 7.79, 6.97, 0.82, 1.01, 0.45, 0.48, 1.02, 4.35, 4.42, 1.79, 1.58 
Kerri Einarson, 28, 19, 9, 0, 0.679, 0.40, 0.21, 0.30, 0.59, 14, 1.53, 0, 0, 215, 167, 115, 7.77, 5.35, 2.42, 1.16, 0.28, 0.43, 0.77, 4.70, 3.77, 1.65, 1.42 
Michelle Englot, 49, 31, 18, 0, 0.633, 0.33, 0.28, 0.34, 0.58, 19, 1.00, 0.5, 0.0, 361, 288, 221, 7.98, 6.12, 1.86, 1.07, 0.37, 0.53, 0.85, 4.74, 4.27, 1.68, 1.44 
Kelly Erickson, 24, 9, 15, 0, 0.375, 0.26, 0.26, 0.22, 0.57, 10, 1.50, 1.0, 0, 193, 118, 138, 6.11, 7.15, -1.04, 0.97, 0.45, 0.27, 0.97, 4.25, 4.25, 1.44, 1.68 
Patricia Evans, 7, 0, 7, 0, 0.000, 0.10, 0.42, 0.05, 0.40, 2, 0.57, 0, 0, 53, 22, 68, 4.15, 12.83, -8.68, 0.65, 0.94, 0.09, 1.77, 3.21, 6.23, 1.29, 2.06 
Lisa Eyamie, 15, 6, 9, 0, 0.400, 0.27, 0.24, 0.20, 0.34, 7, 0.94, 0, 0, 106, 63, 94, 5.94, 8.87, -2.92, 0.93, 0.44, 0.24, 1.37, 4.25, 4.81, 1.40, 1.84 
Karen Fallis, 13, 5, 8, 0, 0.385, 0.24, 0.38, 0.30, 0.48, 5, 0.96, 0.5, 0, 94, 62, 79, 6.60, 8.40, -1.81, 0.86, 0.56, 0.43, 1.16, 4.15, 4.89, 1.59, 1.72 
Chelsea Farley, 11, 2, 9, 0, 0.182, 0.14, 0.51, 0.16, 0.26, 0, 0.56, 1.0, 0, 89, 42, 105, 4.72, 11.80, -7.08, 0.67, 0.88, 0.21, 1.58, 3.48, 5.96, 1.35, 1.98 
Lisa Farnell, 37, 18, 19, 0, 0.486, 0.33, 0.31, 0.25, 0.50, 20, 1.29, 0, 0.3333333333333333, 263, 184, 193, 7.00, 7.34, -0.34, 0.94, 0.45, 0.42, 1.08, 4.14, 4.56, 1.69, 1.61 
Mary Fay, 11, 8, 3, 0, 0.727, 0.34, 0.21, 0.36, 0.68, 7, 1.29, 0, 0.0, 101, 79, 58, 7.82, 5.74, 2.08, 1.02, 0.33, 0.57, 0.79, 4.95, 3.76, 1.58, 1.53 
Binia Feltscher, 67, 46, 21, 0, 0.687, 0.40, 0.16, 0.32, 0.59, 57, 1.82, 1.0, 0.0, 528, 390, 276, 7.39, 5.23, 2.16, 1.04, 0.20, 0.46, 0.82, 4.62, 3.56, 1.60, 1.47 
Peggy Fernquist, 3, 1, 2, 0, 0.333, 0.27, 0.31, 0.25, 0.86, 2, 1.60, 0, 0.0, 25, 14, 16, 5.60, 6.40, -0.80, 0.77, 0.62, 0.33, 0.67, 4.00, 4.40, 1.40, 1.45 
Alli Flaxey, 55, 35, 20, 0, 0.636, 0.39, 0.18, 0.24, 0.61, 39, 1.42, 0.5, 0.4, 445, 349, 259, 7.84, 5.82, 2.02, 1.13, 0.24, 0.41, 0.95, 4.56, 4.02, 1.72, 1.45 
